"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","","","","","","","","","","","","","","","","","","",""
"08","4911","","// init NAME_12, $26
OH~
BABY~
我今天到朋友家
，
看到了很多的發
明品喲!
他可是個天才的
機械科學家。
比你爸爸還厲害
的科學家喲!","// init NAME_12, $26
Oh, baby~

I went to my friend's house today. I saw many inventions there!

He's such a genius roboticist, looks like your dad can learn a thing or two from him~","// init NAME_12, $26
Oh, baby~

Je suis allée chez mon ami aujourd'hui. J'ai pu voir des tas d'inventions!

C'est un génie de la robotique. Ton père pourrait apprendre une chose ou deux de lui!","","","","","","","","","","","","","","","","","","","","","",""
"08","497a","","// init NAME_BLANK, $1f
啊啊!!!
怎麼把狗帶到別
人家裡來。
我才剛換了新地
毯，
這下又弄髒了!
真是沒教養的小
孩。","// init NAME_BLANK, $1f
Ahhh!!!
How could you bring a dog into someone's house?!
I just cleaned my carpet, and now it's dirty again! You uneducated child!
","// init NAME_BLANK, $1f
Aaah!!!
Comment oses-tu amener un chien dans la maison des gens?!
Je venais de changer le tapis, et maintenant je vais encore devoir le laver!
Espèce de garnement!","// init NAME_BLANK, $1f
Ahhh!!!
Enak saja kau bawa anjing masuk rumah orang!
Karpet baru saja saya bersihkan, sekarang kotor lagi! Dasar anak kampungan!
","換了新地毯 means ""changed to a new carpet"" but is usually also said to denote having switched it out (for a carpet in the wash)","","","","","","","","","","","","","","","","","","","",""
"08","49cc","","// init NAME_SNOWY, $08
嗚~~汪汪汪!","// init NAME_SNOWY, $08
Awoo~ Woof! Woof!","// init NAME_SNOWY, $08
Aouuh... Ouaf ouaf!","","","","","","","","","","","","","","","","","","","","","",""
"08","49db","","// init NAME_BLANK, $15
你是來找芳芳的
嗎?
芳~芳~!
妳的朋友來找你
唷~
都這麼晚了，
留下來一起吃晚
餐好嗎?","// init NAME_BLANK, $15
Did you come to find Fangfang?
Oh, Fangfang!
Your friend came to visit~
Since it's so late, why not stay for dinner?","// init NAME_BLANK, $15
Tu es venu voir Fangfang?
Hé, Fangfang!
Ton ami est venu te voir!
Vu qu'il est tard, ça te dit de rester pour dîner?","// init NAME_BLANK, $15
Apa kau datang mencari Fangfang?
Fangfang!
Temanmu datang kemari~
Karena hari sudah malam, mengapa tidak makan di sini sebentar?","","","","","","","","","","","","","","","","","","","","",""
"08","4a2e","","// init NAME_BLANK, $18
賽亞是一個很棒
的天文科學家。
在我們天文科學
界，
他算是個天才吧
!
只是脾氣古怪了
一點⋯⋯","// init NAME_BLANK, $18
Saya is a great astronomer.
He's known as a prodigy in our little community! He's just a bit eccentric...
","// init NAME_BLANK, $18
Saiya est un astronome de renom.
C'est un vrai prodige dans notre petite communauté! 
Il est juste un peu excentrique...","// init NAME_BLANK, $18
Saiya seorang astronom ahli.
Dia dikenal jenius di antara masyarakat! Hanya saja, dia agak eksentrik...","","","","","","","","","","","","","","","","","","","","",""
"08","4a87","","// init NAME_13, $1a
你是來找我一起
玩的嗎?
好~高~興~","// init NAME_13, $1a
Are you here to play with me? I'm so glad!
","// init NAME_13, $1a
Tu es venu jouer avec moi? Youpi, merci!","","~ used to indicate pseudo-singing tone","","","","","","","","","","","","","","","","","","","",""
"08","4aac","","// init NAME_BLANK, $15
明天晚上會有大
規模的流星雨。
這種難見的奇景
，
我一定不能錯過
!
對了~
明天晚上，
我們去你爸的天
文台看流星雨。","// init NAME_BLANK, $15
There will be a massive meteor shower tomorrow night. I can't miss this rare spectacle!

By the way, tomorrow night, we will go to your father's observatory to watch the meteor shower.
","// init NAME_BLANK, $15
Il va y avoir une pluie de météores demain soir. Je peux pas me permettre de rater un tel spectacle!

D'ailleurs, demain, on ira regarder la pluie de météores dans l'observatoire de ton papa.","","","","","","","","","","","","","","","","","","","","","",""
"08","4b14","","// init NAME_14, $25
受傷了嗎?
如果受傷的話，
只要進去這個α
射線放射器裡，
一下下~
就會復原喲!
要是受傷了，
就來找妮可吧!","// init NAME_14, $25
Are you hurt?

If you're hurt, just enter this alpha ray emitter and you'll recover in a second! If you are injured, come to Nicole!","// init NAME_14, $25
Es-tu blessé?

Si tu t'es fait mal, entre juste dans cet émetteur de rayons alpha et tu seras comme neuf!
Si tu te blesses, passe me voir!","","","","","","","","","","","","","","","","","","","","","",""
"08","4b77","","// init NAME_BALLOT, PIC_BALLOT_0
學校的門關起來
了!","// init NAME_BALLOT, PIC_BALLOT_0
The school's door is locked...","// init NAME_BALLOT, PIC_BALLOT_0
Les portes de l'école sont fermées...","// init NAME_BALLOT, PIC_BALLOT_0
Pintu sekolah terkunci...","","","","","","","","","","","","","","","","","","","","",""
"08","4b8b","","// init NAME_BALLOT, PIC_BALLOT_0
爸~
回家吃飯了!","// init NAME_BALLOT, PIC_BALLOT_0
Dad! Dinner is ready! ","// init NAME_BALLOT, PIC_BALLOT_0
Papa! Le dîner est prêt!","// init NAME_BALLOT, PIC_BALLOT_0
Ayah! Makan malam sudah siap!","Lit. ""Come home to eat!""","","","","","","","","","","","","","","","","","","","",""
"08","4b9f","","// init NAME_BALLOT, PIC_BALLOT_0
爸~
吃飯了。","// init NAME_BALLOT, PIC_BALLOT_0
Dad, time for dinner!","// init NAME_BALLOT, PIC_BALLOT_0
Papa, à table!","// init NAME_BALLOT, PIC_BALLOT_0
Ayah, waktunya makan malam!","","","","","","","","","","","","","","","","","","","","",""
"08","4baf","","// init NAME_BALLOT, $2c
爸~!!!","// init NAME_BALLOT, PIC_BALLOT_0
Daaaaaaad!","// init NAME_BALLOT, PIC_BALLOT_0
PAPA!","// init NAME_BALLOT, PIC_BALLOT_0
Ayaaaaah!","","","","","","","","","","","","","","","","","","","","",""
"08","4bbb","","// init NAME_11, $11
是巴洛特呀!
⋯⋯⋯⋯⋯","// init NAME_11, $11
It's Ballot!
...","// init NAME_11, $11
Ah, Ballot!
...","// init NAME_11, $11
Itu Ballot!
...","","","","","","","","","","","","","","","","","","","","",""
"08","4bd2","","// init NAME_BALLOT, PIC_BALLOT_0
爸⋯⋯⋯","// init NAME_BALLOT, PIC_BALLOT_0
Dad...","// init NAME_BALLOT, PIC_BALLOT_0
Papa...","// init NAME_BALLOT, PIC_BALLOT_0
Ayah...","","","","","","","","","","","","","","","","","","","","",""
"08","4bdc","","// init NAME_11, $11
喧~
不要說話~
過來~","// init NAME_11, $11
Hush, don't talk.
Come here.","// init NAME_11, $11
Chut, ne dis rien.
Viens par ici.","// init NAME_11, $11
Hush, jangan bicara.
Kemari.","~ indicating whispering","","","","","","","","","","","","","","","","","","","",""
"08","4bf3","","// init NAME_11, $11
自從你媽媽病逝
後，
就沒有像這樣仔
細的看過你了。","// init NAME_11, $11
I haven't seen you this closely since Mom got sick.","// init NAME_11, $11
Je n'ai pas pu te voir de si près depuis que maman est tombée malade.","// init NAME_11, $11
Aku tak pernah melihatmu sedekat ini sejak Ibu jatuh sakit.","","","","","","","","","","","","","","","","","","","","",""
"08","4c1d","","// init NAME_BALLOT, PIC_BALLOT_0
爸爸⋯
你怎麼了?","// init NAME_BALLOT, PIC_BALLOT_0
Dad... What's wrong?","// init NAME_BALLOT, PIC_BALLOT_0
Papa... Qu'est-ce qui ne va pas?","// init NAME_BALLOT, PIC_BALLOT_0
Ayah, ada apa?","","","","","","","","","","","","","","","","","","","","",""
"08","4c2e","","// init NAME_11, $11
不要多話。
看看今夜的星空
。","// init NAME_11, $11
Shush, don't say anything.
Take a look at the stars.","// init NAME_11, $11
Shh, ne dis rien.
Viens regarder les étoiles.","// init NAME_11, $11
Hush, diam.
Lihatlah bintang-bintang.","","","","","","","","","","","","","","","","","","","","",""
"08","4c4c","","// init NAME_BALLOT, PIC_BALLOT_0
爸~
月光的顏色，
不是暖澄澄的黃
色嗎?
今晚的月光，
藍的有點可怕⋯","// init NAME_BALLOT, PIC_BALLOT_0
Dad, isn't the moon supposed to be pale and yellow?

Why is it looking a little blue tonight? It's a bit scary...","// init NAME_BALLOT, PIC_BALLOT_0
Papa, la lune est censée être jaune clair, non?

Pourquoi elle est bleutée cette nuit? C'est un peu inquiétant...","// init NAME_BALLOT, PIC_BALLOT_0
Ayah, bukankah bulan seharusnya kuning pucat?

Kenapa malam ini warnanya biru? Sedikit menakutkan...","","","","","","","","","","","","","","","","","","","","",""
"08","4c8c","","// init NAME_11, $11
⋯⋯⋯
終於來了嗎?
時機似乎太早了
一點⋯⋯","// init NAME_11, $11
...It's finally here?

It's a little too early than I thought.","// init NAME_11, $11
... Il approche enfin?

C'est plus tôt que je ne l'imaginais.","// init NAME_11, $11
...Hari itu tiba?

Sepertinya terlalu awal dari perkiraan.","","","","","","","","","","","","","","","","","","","","",""
"08","4cb5","","// init NAME_BALLOT, PIC_BALLOT_0
爸⋯","// init NAME_BALLOT, PIC_BALLOT_0
Dad...","// init NAME_BALLOT, PIC_BALLOT_0
Papa...","// init NAME_BALLOT, PIC_BALLOT_0
Ayah...","","","","","","","","","","","","","","","","","","","","",""
"08","4cbd","","// init NAME_11, $11
⋯⋯⋯⋯","// init NAME_11, $11
...","// init NAME_11, $11
...","// init NAME_11, $11
...","","","","","","","","","","","","","","","","","","","","",""
"08","4cc6","","// init NAME_BALLOT, $2d
槽了!
再不趕快出發到
學校的話，
一定會遲到的。","// init NAME_BALLOT, $2d
Oh no! If I don't hurry to school, I'll definitely be late. ","// init NAME_BALLOT, $2d
Oh non! Si je me dépêche pas, je vais être en retard pour aller à l'école.","// init NAME_BALLOT, $2d
Oh tidak! Jika aku tidak bergegas ke sekolah, pastinya aku terlambat.","","","","","","","","","","","","","","","","","","","","",""
"08","4cf4","","// init NAME_11, $11
起床了嗎?
該上學了。","// init NAME_11, $11
Are you awake? It's time to go to school. ","// init NAME_11, $11
Tu es réveillé? C'est l'heure d'aller à l'école.","// init NAME_11, $11
Kamu sudah terbangun? Waktunya sekolah.","","","","","","","","","","","","","","","","","","","","",""
"08","4d0b","","// init NAME_11, $11
等等~巴洛特!","// init NAME_11, $11
Ballot! Wait!","// init NAME_11, $11
Ballot! Attends!","// init NAME_11, $11
Ballot! Tunggu!","","","","","","","","","","","","","","","","","","","","",""
"08","4d1a","","// init NAME_BALLOT, PIC_BALLOT_0
⋯?
爸，有事嗎?","// init NAME_BALLOT, PIC_BALLOT_0
...?
Dad, what's the matter?","// init NAME_BALLOT, PIC_BALLOT_0
...?
Qu'est-ce qu'il y a, papa?","// init NAME_BALLOT, PIC_BALLOT_0
...?
Ayah, ada apa?","","","","","","","","","","","","","","","","","","","","",""
"08","4d2d","","// init NAME_11, $11
先吃完早餐吧。","// init NAME_11, $11
Let's finish breakfast first. ","// init NAME_11, $11
Finis ton petit-déjeuner d'abord.","// init NAME_11, $11
Selesaikan sarapan dulu.","","","","","","","","","","","","","","","","","","","","",""
"08","4d3e","","// init NAME_BALLOT, PIC_BALLOT_0
不了。
上學快要遲到了
。","// init NAME_BALLOT, PIC_BALLOT_0
I can't, dad. I'm already late!","// init NAME_BALLOT, PIC_BALLOT_0
J'peux pas, papa. Je suis déjà en retard!","// init NAME_BALLOT, PIC_BALLOT_0
Tidak bisa Ayah, aku sudah terlambat!","","","","","","","","","","","","","","","","","","","","",""
"08","4d56","","// init NAME_11, $11
⋯⋯
巴洛特~
關於那個⋯⋯","// init NAME_11, $11
Ballot, about that...","// init NAME_11, $11
Ballot, à propos de...","// init NAME_11, $11
Ballot, tentang itu...","","","","","","","","","","","","","","","","","","","","",""
"08","4d70","","// init NAME_BALLOT, PIC_BALLOT_0
嗯?","// init NAME_BALLOT, PIC_BALLOT_0
Huh?","// init NAME_BALLOT, PIC_BALLOT_0
Hm?","// init NAME_BALLOT, PIC_BALLOT_0
Huh?","","","","","","","","","","","","","","","","","","","","",""
"08","4d77","","// init NAME_11, $11
⋯⋯沒什麼。
上學去吧。","// init NAME_11, $11
...Nevermind. Hurry along now.","// init NAME_11, $11
...Non, rien. Dépêche-toi.","// init NAME_11, $11
...Tidak jadi. Kamu berangkat saja.","","","","","","","","","","","","","","","","","","","","",""
"08","4d8f","","// init NAME_BALLOT, $2c
又是這樣!
自從媽媽過逝後
，
爸爸就總是不能
老實的，
說出想說的話!
巴洛特已經
12歲了!
不是小孩子了!
爸⋯爸爸⋯⋯
大举蛋!!!","// init NAME_BALLOT, $2c
Not again!
Ever since Mom passed away, you just can't seem to speak honestly anymore!
I'm 12 years old, not a kid!
D-dad... You big dummy!
","// init NAME_BALLOT, $2c
Encore ça!
Depuis que maman est morte, tu ne me dis plus rien!
J'ai 12 ans maintenant, je suis plus un gamin!
P... Papa... T-t'es trop bête!","// init NAME_BALLOT, $2c
Tuh kan!
Sejak Ibu meninggal, Ayah tidak lagi bisa mengatakan apa adanya!
Umurku 12, bukan anak kecil lagi!
D-dasar Ayah...!
","","","","","","","","","","","","","","","","","","","","",""
"08","4e04","","// init NAME_11, $11
⋯⋯
上學去吧。","// init NAME_11, $11
...Just go.","// init NAME_11, $11
...Vas-y.","// init NAME_11, $11
...Berangkatlah.","","","","","","","","","","","","","","","","","","","","",""
"08","4e15","","// init NAME_SNOWY, $08
汪汪~汪汪!","// init NAME_SNOWY, $08
Woof! Woof!","// init NAME_SNOWY, $08
Ouaf! Ouaf!","","","","","","","","","","","","","","","","","","","","","",""
"08","4e23","","// init NAME_BLANK, $1b
新聞報導說，
今天晚上會有大
規模的流星雨。
真是期待呢!","// init NAME_BLANK, $1b
The news is reporting that there will be a massive meteor shower tonight. I really look forward to it!","// init NAME_BLANK, $1b
Ils disent aux infos qu'il va y avoir une pluie de météores cette nuit. J'ai hâte de voir ça!","","","","","","","","","","","","","","","","","","","","","",""
"08","4e55","","// init NAME_BLANK, $13
不曉得為什麼，
只要一提到流星
雨的事，
賽亞就會露出不
安的臉色⋯
巴洛特呀，
你知道為什麼嗎
?","// init NAME_BLANK, $13
Every time the meteor shower is mentioned, Saya looks troubled...

Ballot, do you know why?","// init NAME_BLANK, $13
A chaque fois qu'on parle de la pluie de météores, Saiya semble inquiet...

Tu sais pourquoi, Ballot?","// init NAME_BLANK, $13
Setiap kali hujan meteor itu diungkit, Saiya terlihat khawatir...

Ballot, kamu tahu kenapa?","","","","","","","","","","","","","","","","","","","","",""
"08","4eb0","","// init NAME_BLANK, $22
是巴洛特呀!
隼人去上學了。","// init NAME_BLANK, $22
Hi, Ballot! Hayato's gone to school.","// init NAME_BLANK, $22
Bonjour, Ballot! Hayato est déjà parti à l'école.","// init NAME_BLANK, $22
Hai, Ballot! Hayato sudah berangkat ke sekolah.","","","","","","","","","","","","","","","","","","","","",""
"08","4ecc","","// init NAME_BLANK, $1f
真是可惡~
才剛換了新地毯
，
這下又弄髒了!","// init NAME_BLANK, $1f
You...
I just re-washed my carpet, and you've dirtied it AGAIN!","// init NAME_BLANK, $1f
Toi...
Je venais de re-nettoyer mon tapis, et tu l'as ENCORE sali!","// init NAME_BLANK, $1f
Kamu...
Saya sudah mencuci kembali karpetnya, dan kamu mengotorinya LAGI!","","","","","","","","","","","","","","","","","","","","",""
"08","4ef4","","// init NAME_BLANK, $15
你是來找芳芳的
嗎?
芳芳上學去了唷
~","// init NAME_BLANK, $15
Are you here to see Fangfang? She went to school~","// init NAME_BLANK, $15
Tu es venu voir Fangfang?
Elle est partie à l'école.","","","","","","","","","","","","","","","","","","","","","",""
"08","4f1a","","// init NAME_BLANK, $15
今天晚上會有大
規模的流星雨。
這種難見的奇景
，
我一定不能錯過
!
對了~
今天晚上，
我們去你爸的天
文台看流星雨。","// init NAME_BLANK, $15
There will be a massive meteor shower tonight. I can't miss this rare spectacle!

By the way, tonight, we will go to your father's observatory to watch the meteor shower.","// init NAME_BLANK, $15
Il va y avoir une pluie de météores cette nuit. Je peux pas me permettre de rater un tel spectacle!

D'ailleurs, ce soir, on ira regarder la pluie de météores dans l'observatoire de ton papa.","","similar to 08:4aac","","","","","","","","","","","","","","","","","","","",""
"08","4f82","","// init NAME_BALLOT, PIC_BALLOT_0
上學快要遲到了
，
不是到處溜噠的
時間。","// init NAME_BALLOT, PIC_BALLOT_0
I'm almost late for school! It's not the time to go wandering off.","// init NAME_BALLOT, PIC_BALLOT_0
Je vais être en retard à l'école! J'ai pas le temps de flâner.","","","","","","","","","","","","","","","","","","","","","",""
"08","4fa8","","// init NAME_15, $24
早啊~巴洛特。
快點進教窒，
就要上課了。
⋯⋯啊?!
巴洛特真是健忘
。
教窒就是上面的
那間啊!","// init NAME_15, $24
Good morning, Ballot.

Hurry up, class is about to start!

Huh? Don't you remember that your class is further down the hallway?","// init NAME_15, $24
Bonjour, Ballot.

Dépêche-toi, les cours vont commencer!

Hein? Tu ne te rappelles pas que ta classe est au bout du couloir?","// init NAME_15, $24
Selamat pagi, Ballot.

Segeralah ke kelas, kelas akan dimulai!

Ha? Tidakkah kamu ingat kelasmu ada di ujung?","note: 上面 literally means one above but in context it probably means ""next class over""","","","","","","","","","","","","","","","","","","","",""
"08","5001","","// init NAME_16, $16
巴洛特，早安。
怎麼一大早，
就露出這種心情
不好的表情呢?","// init NAME_16, $16
Ballot, good morning.
Why do you look glum when it's so early in the morning?","// init NAME_16, $16
Bonjour, Ballot.
Pourquoi cet air maussade de si bon matin?","// init NAME_16, $16
Selamat pagi, Ballot.
Mengapa kamu malah termurung pagi-pagi?","","","","","","","","","","","","","","","","","","","","",""
"08","5039","","// init NAME_BLANK, $1e
今天要上的是植
物課。
所以我帶了白老
鼠~吉吉來唷!","// init NAME_BLANK, $1e
Today I'm going to take Horticulture 1.
So I brought my pet mouse! Meet Jiji!","// init NAME_BLANK, $1e
Aujourd'hui, c'est cours d'horticulture!
Donc j'ai apporté ma souris!
Dis bonjour à Jiji!","// init NAME_BLANK, $1e
Hari ini aku mengambil Hortikultura 1.
Jadi aku membawa tikus peliharaanku! Kenali, Jiji!","","","","","","","","","","","","","","","","","","","","",""
"08","506b","","// init NAME_BLANK, $21
人家今天的便當
，
很好~很好吃峨
。
才‧不‧給‧你
‧吃!","// init NAME_BLANK, $21
My packed lunch today is delicious.
You can't have it!","// init NAME_BLANK, $21
Mon déjeuner est super bon!
Et t'en auras pas!","// init NAME_BLANK, $21
Bekal yang kubawa hari ini sangat enak.
Kamu tidak boleh ambil!","""you can't have it"" is in a taunting, one word at a time, tone","","","","","","","","","","","","","","","","","","","",""
"08","50a3","","// init NAME_12, $26
OH~
BABY~
巴洛特~
你來的正好!
介紹我的新朋友
~
高貴隼人1號。","// init NAME_12, $26
Oh baby~
Hey Ballot, you came at a great time!
Say hello to my new friend, Advanced Hayato Mark I!","// init NAME_12, $26
Oh baby~
Hé, Ballot! T'arrives à pic!
Voici mon nouvel ami, Super-Hayato Mk.I!","// init NAME_12, $26
Oh baby~
Hei Ballot, pas sekali kau datang!
Perkenalkan teman baruku, Advanced Hayato Mark I!","Takayasu Hayato #1 is presumably the robot","lol what you translated as ""takayasu"" just means ""high quality""","","","","","","","","","","","","","","","","","","",""
"08","50e8","","// init NAME_BALLOT, $2c
很好~了不起!
我要上課了。","// init NAME_BALLOT, $2c
Yeah okay, that's cool and all but I gotta get going now!
","// init NAME_BALLOT, $2c
Ouais, génial. 
Je dois y aller maintenant.","// init NAME_BALLOT, $2c
Ya, ya, keren sekali. Tapi waktunya aku ke kelas!","/s","","","","","","","","","","","","","","","","","","","",""
"08","5105","","// init NAME_12, $26
OH~NO~
巴洛特不要說出
，
這種酸萄葡的話
。
這可是我的一個
天才機械發明家
朋友，
借給我的機器人
。
他可是非常的有
名唷。
想知道他是誰嗎
?","// init NAME_12, $26
Oh no~
Ballot, don't be such a sour grape.
This is a robot that a genius roboticist friend of mine lent me.
He's very famous. Wanna know who he is?","// init NAME_12, $26
Oh no~
Ben Ballot, sois pas amer comme ça.
C'est un robot qu'un ami à moi, un génie de la robotique, m'a prêté.
Il est super célèbre.
Tu veux savoir qui c'est?","// init NAME_12, $26
Oh no~
Ballot, janganlah jadi pemarah.
Ini robot yang dipinjamkan oleh temanku, seorang perobot yang jenius.
Dia sangat terkenal. Mau tahu siapakah dia?","","","","","","","","","","","","","","","","","","","","",""
"08","5188","","// init NAME_BALLOT, $2c
沒有興趣。","// init NAME_BALLOT, $2c
Uhh, I'm not really interested.","// init NAME_BALLOT, $2c
Je m'en fiche.","// init NAME_BALLOT, $2c
Uhh, aku tak tertarik.","","","","","","","","","","","","","","","","","","","","",""
"08","5195","","// init NAME_12, $26
OH~
BABY~
難得巴洛特這麼
有興趣，
隼人真是感動。
放學後，
隼人就帶你去找
他。","// init NAME_12, $26
Oh baby~
It's rare for you to show this much interest, and Hayato is really moved.
After school, Hayato will take you to find him. ","// init NAME_12, $26
Oh baby~
C'est si rare que tu sois si intéressé! Je suis très touché.
Après l'école, je t'emmènerai le voir.","// init NAME_12, $26
Oh baby~
Sungguh langka kau menunjukkan ketertarikan seperti ini, dan Hayato tergerak hatinya.
Setelah sekolah, Hayato akan membawamu bertemu dengan dia.","yes, he refers to himself in third person, (but i changed the ballot name to ""you"" to flow better)","","","","","","","","","","","","","","","","","","","",""
