"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind"
"0e","735f","","// init NAME_23, $17
真是感謝。
科技城停電後，
我就趕來詢視情
況。
沒想到被閃電隊
給綁了起來!
真是感謝你!","// init NAME_23, $17
Oh, thank you! After the outage in Tech City, I rushed over to investigate the cause.
I didn't expect that I would be tied up by Team Volt!
Thank you for rescuing me!","// init NAME_23, $17
Oh, merci! Après la coupure de courant à Technoville, je me suis précipité ici pour en trouver la cause.
Je ne m'attendais pas à me faire ligoter par la Team Volt!
Merci de m'avoir sauvé!","// init NAME_23, $17
Oh, terima kasih! Setelah listrik padam di Kota Tekno, aku segera ke sini untuk menginvestigasi.
Aku tidak menyangka bakal ditahan oleh Tim Volt!
Terima kasih telah menyelamatkanku!","","","repoint_target"
"0e","73b0","","// init NAME_1E, $27
峨~呵呵呵!
有了三千萬，
我們的夢想就⋯","// init NAME_1E, $27
Eheheheh~!
With these 30 million yen, our dream can finally...","// init NAME_1E, $27
Héhéhéhé!
Avec ces 30 millions de ¥, notre rêve peut enfin...","// init NAME_1E, $27
Eheheheh~!
Dengan 30 juta yen ini, mimpi-mimpi kami akan...","","","repoint_target"
"0e","73d4","","// init NAME_1F, $28
跟在下想的，
一點都沒錯。
這樣一來⋯⋯","// init NAME_1F, $28
Just so! Now we can....","// init NAME_1F, $28
Exactement! Maitenant, on pourra...","// init NAME_1F, $28
Iya! Sekarang kita...","","","repoint_target"
"0e","73f9","","// init NAME_1E, $27
你你⋯你⋯你
⋯你怎麼來的?","// init NAME_1E, $27
Y-y-yo-you?!
How did you get here?!","// init NAME_1E, $27
T-t-toi?!
Qu'est-ce que tu fais ici?!","// init NAME_1E, $27
K-k-k-kamu?!
Bagaimana kamu bisa di sini?!","","","repoint_target"
"0e","740e","","// init NAME_1F, $28
可惡!
你是來破壞在下
的夢想的嗎?
就讓你們來點愛
的教育吧!","// init NAME_1F, $28
You- Are you here to ruin our dreams again? I think it's time to teach you a lesson!","// init NAME_1F, $28
Toi... Es-tu là pour brises nos rêves à nouveau?
Je crois qu'il faut que je te donne une petite leçon!","// init NAME_1F, $28
Kamu- Kamu datang merobohkan impian kami lagi? Mungkin waktunya memberimu pelajaran!","cyrus voice intensifies","","repoint_target"
"0e","744b","","// init NAME_1E, $27
可可⋯可
⋯可惡!
你⋯你你⋯們給
我⋯記⋯記住!","// init NAME_1E, $27
Y-you! You'd better remember this!","// init NAME_1E, $27
B... Bon sang!
V-vous..! Retenez bien qui nous sommes!","// init NAME_1E, $27
K-kamu! Ingatlah ini!","","","repoint_target"
"0e","7478","","// init NAME_1F, $28
這次在下就放了
你!
要記住在下的恩
惠!
在下是代表了~
愛、正義、勇氣
的閃電隊!","// init NAME_1F, $28
We'll let you go this time!
You'd better remember this mercy!
Truth, justice and courage: Team Volt, out!","// init NAME_1F, $28
On vous laisse filer cette fois!
Souvenez-vous de notre clémence!
Pour la vérité, la justice et l'amour: La Team Volt s'en va!","// init NAME_1F, $28
Kali ini kami lepaskan!
Ingatlah pengampunan kami ini!
Jujur, adil dan berani: Tim Volt, meluncur!","","","repoint_target"
"0e","74c4","","// init NAME_BALLOT, $00
真是⋯⋯⋯","// init NAME_BALLOT, $00
These guys...","// init NAME_BALLOT, $00
Sérieusement...","// init NAME_BALLOT, $00
Dasar penjahat...","","","repoint_target"
"0e","74cf","","// init NAME_BALLOT, $00
這個開關是⋯⋯","// init NAME_BALLOT, $00
If I flip this...","// init NAME_BALLOT, $00
Si j'appuie sur ça...","// init NAME_BALLOT, $00
Jika aku menyetel ini...","","","repoint_target"
"0e","74de","","// init NAME_BLANK, $1f
啊!
電力又回復了?
第一次覺得，
光明是這麼的幸
福。","// init NAME_BLANK, $1f
Ah! The power is back?
I've never been this glad to see the light.","// init NAME_BLANK, $1f
Ah! Le courant est revenu?
Je n'ai jamais autant été soulagé de voir de la lumière.","// init NAME_BLANK, $1f
Ah! Listrik menyala lagi?
Tak pernah aku sebahagia ini melihat lampu terang benderang.","","","repoint_target"
"0e","7511","","// init NAME_BLANK, $1b
原來電力塔早就
被閃電隊佔領了
這次能回復電力
，
真是感謝你及雷
歐。","// init NAME_BLANK, $1b
Apparently the power went out because of Team Volt.
Thank you, Ballot, for bringing it back!","// init NAME_BLANK, $1b
Apparemment, le courant de la centrale avait été coupé par la Team Volt.
Merci de l'avoir rétabli!","// init NAME_BLANK, $1b
Sepertinya listrik padam gara-gara Tim Volt.
Terima kasih, Ballot, karena menghidupkannya kembali!","","","repoint_target"
"0e","7550","","// init NAME_BLANK, $16
好⋯好刺眼⋯⋯
眼晴好不容易習
慣了黑暗，
對於這麼亮的燈
光，
真有點吃不消⋯","// init NAME_BLANK, $16
It-It's blinding...
My eyes had just gotten used to the dark, and suddenly the blinding lights came back on...","// init NAME_BLANK, $16
M-mes yeux...
Je venais tout juste de m'habituer à l'obscurité, et là, les lumières se rallument...","// init NAME_BLANK, $16
I-ini membutakan...
Mataku baru saja terbiasa dengan gelap gulita, lalu tiba-tiba saja lampu membuta itu menyala kembali...","","","repoint_target"
"0e","7597","","// init NAME_BLANK, $19
果然需要雷歐出
馬，
才能打敗閃電隊
。
雷歐博士是最棒
的機械發明家。","// init NAME_BLANK, $19
In the end, Team Volt was only defeated with Dr. Leo's assistance.
He certainly is the best inventor in the world.","// init NAME_BLANK, $19
Au final, la Team Volt n'a pu être vaincue qu'avec l'aide du Dr. Léo.
Je savais qu'il était le meilleur mécanicien du monde.","// init NAME_BLANK, $19
Pada akhirnya, Tim Volt hanya bisa terkalahkan dengan bantuan dari Dr. Leo.
Beliau benar-benar penemu terhebat di dunia.","","","repoint_target"
"0e","75d8","","// init NAME_BLANK, $17
你聽過加爾企業
嗎?
那可是二大知名
企業之一啊!
加爾企業及邦林
企業，
都是數一數二的
大企業喲。","// init NAME_BLANK, $17
Have you heard of Gale Enterprises?
It's one of the biggest companies in the world, second only to Bang Lin!","// init NAME_BLANK, $17
As-tu entendu parler de Gale Corp.?
C'est l'une des plus grandes multinationales au monde, juste derrière Banglin!","// init NAME_BLANK, $17
Apakah kamu mendengar tentang PT. Gale?
Mereka salah satu perusahaan terbesar di dunia, kedua setelah Bang Lin!","Gale is back, babyy, and so is Bang Lin","","repoint_target"
"0e","762c","","// init NAME_BLANK, $21
嗚~嗚~
電燈又亮了，
人家又要上學了
!
嗚~~嗚~","// init NAME_BLANK, $21
Waaah!
The lights are back on, so we have to go to school!
Waaah!","// init NAME_BLANK, $21
Ouiiin!
La lumière est revenue, donc il faut retourner à l'école!
Ouiiiiin!","// init NAME_BLANK, $21
Oweeek!
Lampu sudah menyala, jadi kita harus sekolah!
Oweeek!","","","repoint_target"
"0e","765d","","// init NAME_BLANK, $16
這裡是科技城的
廢鐵集中場。
別看這些破破爛
爛的東西，
這些全是我的寶
貝!","// init NAME_BLANK, $16
This is the scrapyard of Tech City. They may look like pieces of junk, but to me, they're treasure!","// init NAME_BLANK, $16
Voici le parc à ferrailles de Technoville.
Tout ça ressemble peut-être à des déchets, mais pour moi, c'est de précieux trésors!","// init NAME_BLANK, $16
Ini tempat rongsokan Kota Tekno. Mungkin bagimu ini sampah, tapi bagiku ini harta!","from 0e5806","","repoint_target"
"0e","76a3","","// init NAME_BLANK, $12
前陣子的流星雨
，
打壞了通往多魯
市的道路。
這該怎麼辦呢?","// init NAME_BLANK, $12
That meteor shower earlier wrecked most of the roads from here to Dorington!
What shall I do?","// init NAME_BLANK, $12
Cette pluie de météorites a détruit la route menant à Dorington!
Qu'est-ce que je vais faire?","// init NAME_BLANK, $12
Hujan meteor kemarin merusak sebagian besar jalanan dari sini ke Dorington!
Bagaimana ini?","Dorington makes the much anticipated return","","repoint_target"
"0e","76dc","","// init NAME_BLANK, $16
就是你救了博特
嗎?
實在是非常的感
謝!
這個就送給你了
，
真是相當的感謝
。","// init NAME_BLANK, $16
You were the one who saved Burt?
Thank you! Please take this as a token of my gratitude!","// init NAME_BLANK, $16
C'est toi qui a sauvé Burt?
Merci! Prends ceci en guise de remerciement!","// init NAME_BLANK, $16
Kamulah yang menyelamatkan Burt?
Terima kasih! Terimalah ini sebagai imbalan!","","","repoint_target"
"0e","7723","","// init NAME_BLANK, $16
真是相當的感謝
。","// init NAME_BLANK, $16
I can't stress how grateful I am!","// init NAME_BLANK, $16
Encore une fois, merci beaucoup!","// init NAME_BLANK, $16
Aku ucapkan terima kasih yang sebesar-besarnya!","","","repoint_target"
"0e","7736","","// init NAME_23, $17
非常的感謝您。","// init NAME_23, $17
Thank you very much for the rescue.","// init NAME_23, $17
Merci beaucoup de m'avoir sauvé.","// init NAME_23, $17
Terima kasih atas penyelamatannya.","","","repoint_target"
"0e","7746","","// init NAME_19, $22
電力又回復了，
一大堆帳要補登
記⋯
忙死了⋯⋯
需要什麼服務嗎
?","// init NAME_19, $22
The electricity is back, so I have a pile of documents to work on..
I'm very busy, so is there anything you need?","// init NAME_19, $22
Le courant est revenu, et j'ai un tas de documents à remplir...
Je suis occupé, qu'est-ce que tu veux?","// init NAME_19, $22
Listrik menyala kembali, jadi saya punya setumpuk dokumen yang harus kukerjakan...
Saya sangat sibuk, kamu perlu apa?","","","repoint_target"
"0e","7781","","// init NAME_1B, $4c
博士終於做好了
反重力裝置了!
身為加爾企業採
購部經理的我，
終於可以回去參
加重要的會議了","// init NAME_1B, $4c
Dr. Leo finally finished his anti-gravity device! As the manager of the procurement department of GaleCorp, I can finally return for my important meeting!","// init NAME_1B, $4c
Le Dr. Léo a enfin fini sa machine anti-gravité!
En tant que manager du département des achats de Gale Corp., je peux enfin revenir pour ma réunion!","// init NAME_1B, $4c
Dr. Leo akhirnya menyelesaikan alat anti-gravitasi! Sebagai pengelola bagian pengadaan PT. Gale, saya bisa kembali menghadiri rapat penting!","","","repoint_target"
"0e","77d3","","// init NAME_1C, $29
啊啊啊啊啊!!
巴洛特啊!
你來的剛剛好!
了不起的大發現
!","// init NAME_1C, $29
AAAAAAAHHH!!
Ballot! You're right on time!
There's been a major breakthrough!","// init NAME_1C, $29
AAAAAAAHHH!!
Ballot! Excellent timing!
On a fait une découverte énorme!","// init NAME_1C, $29
AAAAAAAHHH!!
Ballot! Kamu tepat waktu!
Ada terobosan besar!","","","repoint_target"
"0e","7809","","// init NAME_BALLOT, $00
了不起的發現?","// init NAME_BALLOT, $00
A major breakthrough?","// init NAME_BALLOT, $00
Une découverte énorme?","// init NAME_BALLOT, $00
Terobosan yang besar?","","","repoint_target"
"0e","781b","","// init NAME_1C, $29
我看了你的設計
圖，
這可是不得了的
東西喲!
這可是一台超越
想像的太空船!
太‧空‧船‧峨
!
你為什麼會有這
張設計圖?","// init NAME_1C, $29
I took a look at those blueprints you gave me, and they're truly wonderful!
These blueprints are for a giant spaceship!
Where could you have gotten these?","// init NAME_1C, $29
J'ai jeté un oeil aux diagrammes que tu m'as donné, et ils sont incroyables!
C'est le schéma d'un énorme vaisseau spatial!
Où est-ce que tu as trouvé ça?","// init NAME_1C, $29
Saya melihat cetak-cetak biru yang kamu berikan, dan lembaran-lembaran itu benar-benar menakjubkan!
Cetak biru ini untuk pesawat angkasa yang besar!
Darimana kamu mendapatkannya?","","","repoint_target"
"0e","788a","","// init NAME_BALLOT, $2b
這是爸爸唯一留
下的東西⋯⋯
我一直在想，
如照著爸爸的
目標走，
一定可以相遇的
。","// init NAME_BALLOT, $2b
This is the only thing my father left behind..
I hoped that by following in his footsteps, I'd figure out where he went.","// init NAME_BALLOT, $2b
C'est la dernière chose qu'il me reste de mon père.
J'espérais qu'en suivant cette piste, je découvrirai où il est allé.","// init NAME_BALLOT, $2b
Ini satu-satunya barang yang ditinggalkan ayahku...
Aku harap dengan mengikuti jejaknya, aku bisa tahu kemana dia pergi.","","","repoint_target"
"0e","78d6","","// init NAME_1C, $29
是這樣啊!
⋯⋯⋯⋯這是什
麼?
設計圖的『核』
，
怎麼有八個空白
的部份?
⋯⋯⋯
慢著⋯或許⋯⋯","// init NAME_1C, $29
Oh, I see...
Wait, what's this?
In the blueprints for the Core, there are 8 missing pieces...
Unless...","// init NAME_1C, $29
Je vois!
... Attends, qu'est-ce que c'est que ça?
Dans le schéma pour le noyau énergétique, il manque 8 pièces...
Se pourrait-il que...","// init NAME_1C, $29
Oh, begitu...
Tunggu, apa ini?
Dalam cetak biru bagian Inti, ada 8 pecahan yang hilang...
Kecuali...","","","repoint_target"
"0e","792c","","// init NAME_1C, $29
就是這個!
『動力晶片』!
這是核心
的
一部份!
就我所知，
這晶片共有八
個，
分別由八個科學
家保管。
喂喂~巴洛特!
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片，
好嗎?","// init NAME_1C, $29
I've got it!
These sections correspond to the power circuits, which are the most important piece of the core!
As far as I can gather, those chips should be in the possession of 8 scientists, and I have one of them.
Ballot!
You want to find your father, don't you? How about we make a deal?
I'll finish the hull of the spaceship, while you go and hunt down the other 7 chips so that we can make this thing fly.
How about that?","// init NAME_1C, $29
J'ai compris!
Ces parties correspondent aux circuits, les parties les plus importantes du noyau!
De ce que je sais, il s'agit de puces en possession des 8 scientifiques, et j'ai l'une d'entre elles.
Ballot!
Tu veux retrouver ton père, pas vrai? Que dirais-tu de faire un petit marché?
Je m'occupe de la coque du vaisseau, et pendant ce temps, tu retrouves les 7 autres puces pour qu'on puisse faire voler l'engin.
Qu'en dis-tu?","// init NAME_1C, $29
Saya tahu!
Bagian-bagian ini bersesuaian dengan rangkaian listrik, yang merupakan bagian terpenting dari inti!
Setahu saya, chip-chip itu berada di tangan 8 ilmuwan, dan saya pegang salah satunya.
Ballot!
Kamu ingin mencari ayahmu, kan? Bagaimana jika kita membuat persepakatan?
Saya menyelesaikan lambung pesawat angkasa, sementara kamu mencari 7 chip lainnya supaya pesawat ini bisa terbang.
Bagaimana?","thank you dr. leo, very cool","","repoint_target"
"0e","7a00","","// init NAME_BALLOT, $2d
動力晶片?
爸爸一定也想解
開這個謎團。
好的!
雷歐博士~
我答應你。","// init NAME_BALLOT, $2d
Power circuits?
Dad must have been trying to solve the mystery of these little things.
Alright!
Dr. Leo, it's a deal!","// init NAME_BALLOT, $2d
Des puces électroniques?
Papa devait être en train de tenter de résoudre leur mystère.
Très bien!
Marché conclu!","// init NAME_BALLOT, $2d
Rangkaian listrik?
Ayah pasti ingin memecahkan rahasia benda-benda ini.
Oke!
Dr. Leo, aku sepakat!","","","repoint_target"
"0e","7a3f","","// init NAME_1B, $4c
這個晶片?
我好像在董事長
那裡，
看過類似的東西
。
但董事長發生了
一件令人難過的
事情⋯
一言難盡⋯⋯
巴洛特要是來到
加爾企業，
我再幫你引見董
事長。
各位，再見了。","// init NAME_1B, $4c
These circuits?
I think I remember the chairman having something like that once, but something unfortunate happened since then...
It's kind of hard to explain...
Ballot, if you come over to GaleCorp, I'll help you make an appointment with the chairman.
I've got to go now, see you!","// init NAME_1B, $4c
Cette puce...
Je me rappelle que le PDG avait quelque chose comme ça, mais il est arrivé quelque chose depuis...
C'est... un peu difficile à expliquer.
Ballot, si tu passes aux locaux de Gale Corp., je pourrai te prendre un rendez-vous avec le PDG.
Je dois y aller maintenant, au revoir!","// init NAME_1B, $4c
Rangkaian-rangkaian ini?
Saya ingat Pak Ketua pernah memiliki barang seperti itu, tapi sesuatu yang buruk terjadi sejak itu...
Agak sulit untuk dijelaskan...
Ballot, jika kamu berkunjung ke PT. Gale, akan saya adakan pertemuan dengan Pak Ketua.
Saya harus pergi sekarang, sampai jumpa!","","","repoint_target"
