"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"0e","6068","","// init NAME_BUCK, $01
你們‧贏‧才怪
!
雷歐博士‧出了
‧問題!
你們‧才怪‧贏
!","// init NAME_BUCK, $01
ＴＨＥＲＥ＇Ｓ ＮＯ ＷＡＹ ＹＯＵ ＣＯＵＬＤ ＨＡＶＥ ＷＯＮ！ ＤＲ． ＬＥＯ ＨＡＤ ＩＳＳＵＥＳ ＰＲＯＣＵＲＩＮＧ Ａ ＰＡＲＴ． Ｉ＇Ｍ ＳＵＲＥ ＹＯＵ ＣＨＥＡＴＥＤ！","","","google
docs translation:
""you cheated. will give leo problems. you cheated.""
how do you represent a robot voice","might just settle on buck having near good grammar
(ESL grammar?)","screw it someone can figure out the robot voice later","There's no way you could have won! Dr. Leo had issues procuring a part. I'm sure you cheated!","","","","","","","","","","","","","","","","",""
"0e","60a4","","// init NAME_1F, $28
在下認得你!
你不就是那個手
下敗將~
雷歐的機器人嗎
?","// init NAME_1F, $28
Wait, I know you!
You're the robot made by that guy we beat!
Dr. Leo, wasn't it?","","","google","","","","","","","","","","","","","","","","","","","",""
"0e","60d9","","// init NAME_BUCK, $01
胡說!
再比‧雷歐博士
‧一定贏!","// init NAME_BUCK, $01
ＩＭＰＯＳＳＩＢＬＥ！
ＤＲ． ＬＥＯ ＷＯＵＬＤ ＳＵＲＥＬＹ ＷＩＮ Ａ ＲＥＭＡＴＣＨ！","","","google
docs translation:
""silence! professor will win again!""
????????????","","","","","","","","","","","","","","","","","","","",""
"0e","60f7","","// init NAME_1E, $27
峨峨~呵呵呵!
沒有那個的話，
再比幾次都是一
樣的!
算了~
再給你一次機會
好了!
三天後再比賽一
場。
如果輸的話，
就要乾脆的交出
三千萬。
峨峨峨峨峨~
~呵呵呵呵!","// init NAME_1E, $27
Ohohohoho! Without that thing, he'll never beat us, regardless of how many times he tries!
How about this: We'll give you another chance!
In 3 days, we'll have another race.
If you lose, you'll have to cough up the 30 million bucks. Ohohoho!!","","","30 million bucks :buck:","also idk what that thing is","","","","","","","","","","","","","","","","","","",""
"0e","6188","","// init NAME_BLANK, $1b
雷歐又要和閃電
隊比賽一次了!
唉~
看上次那種慘狀
!
我們還是想辦法
籌出三千萬好了","// init NAME_BLANK, $1b
Huh? Dr. Leo's racing Team Volt again?!
Considering what happened last time, I think it'd be easier for us to just find a way to raise the 30 million ourselves...","","","","","","","","","","","","","","","","","","","","","","",""
"0e","61da","","// init NAME_BUCK, $01
再比賽‧雷歐博
士‧贏‧一定!","// init NAME_BUCK, $01
ＤＲ． ＬＥＯ ＷＩＬＬ ＷＩＮ ＴＨＥ ＲＥＭＡＴＣＨ！","","","","","","","","","","","","","","","","","","","","","","",""
"0e","61f6","","// init NAME_0A, $0a
恰比~恰比比~","// init NAME_0A, $0a
Chirp! Chirirp!","","","google","????????????????????????????????????????????????????????????????????????????????????","i have no idea what this means","Beattro","","","","","","","","","","","","","","","","",""
"0e","6205","","// init NAME_1C, $29
再比賽一次嗎?
實在沒有太大的
把握⋯
因為在不久前，
高速賽車零件中
，
最高級的彩虹水
晶，
莫名奇妙的停産
了!
沒有那使用那個
當作核心的話，
是贏不了的。","// init NAME_1C, $29
You want me to race against Team Volt again?
I'm not sure I stand a chance as it is...
Not too long ago, one of the most important car parts, the Rainbow Crystal, was inexplicably discontinued.
Without a Rainbow Crystal for my engine core, I stand no chance of winning.","","","deepl","","","","","","","","","","","","","","","","","","","",""
"0e","6292","","// init NAME_BUCK, $01; # TEMP
巴克‧拿‧
彩虹水晶!","// init NAME_BUCK, $01
ＢＵＣＫ ＷＩＬＬ ＧＯ ＴＯ ＲＥＴＲＩＥＶＥ ＴＨＥ ＲＡＩＮＢＯＷ ＣＲＹＳＴＡＬ！","","","","","","","","","","","","","","","","","","","","","","",""
"0e","62aa","","// init NAME_BALLOT, $2d
為什麼彩虹水晶
會停産?","// init NAME_BALLOT, $2d
Why were the crystals discontinued?","","","","","","","","","","","","","","","","","","","","","","",""
"0e","62c5","","// init NAME_1C, $29
我也不清楚⋯
水晶村就這樣莫
名停産彩虹水晶","// init NAME_1C, $29
I don't know... Crystal Town just stopped producing them one day for no reason.","","","","","","","","","","","","","","","","","","","","","","",""
"0e","62ef","","// init NAME_BALLOT, $00
這其中一定有問
題!
我一定要弄清楚
!","// init NAME_BALLOT, $00
This can't be right.. I'll head over there and check it out!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","6314","","// init NAME_BUCK, $01
巴克‧一起去!","// init NAME_BUCK, $01
ＢＵＣＫ ＷＩＬＬ ＧＯ ＷＩＴＨ ＢＡＬＬＯＴ！","","","","","","","","","","","","","","","","","","","","","","",""
"0e","6324","","// init NAME_BLANK, $1e
這裡是水晶村。","// init NAME_BLANK, $1e
Our little town is known for producing Rainbow Crystals, the most durable source of energy ever made!","","","the original just says ""this is crystal town"" / ""welcome to crystal town"" so i changed it to something a bit more ""helpful"" -z","","","","","","","","","","","","","","","","","","","",""
"0e","6336","","// init NAME_BLANK, $12
唉~就這樣莫名
奇妙的失業了⋯
水晶礦區莫名奇
妙的，
被閃電集團的人
霸佔了!
所有的礦工都失
業了!","// init NAME_BLANK, $12
The Crystal Mines was inexplicably taken over by the Volts and fired all the employees!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","638b","","// init NAME_BLANK, $14
閃電集團將礦區
給封閉了起來。
並把所有的礦工
都解雇了!
槽糕~
不做礦工，
那我要做什麼呢
?","// init NAME_BLANK, $14
They shut down the mines and fired everyone!
How awful...
If I can't be a miner, what can I do?","","","","","","","","","","","","","","","","","","","","","","",""
"0e","63de","","// init NAME_BLANK, $1d
偷偷告訴你唷!
那個閃電集團，
好像有個祕密的
基地!
這是我偷聽到的
!
裡面應該有很大
的祕密!","// init NAME_BLANK, $1d
Wanna hear a secret?
That Volt gang seems to have an under- ground base!
At least, that's what I heard while eaves- dropping!
Something big might be in there!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","6434","","// init NAME_BLANK, $19
村裡的男人都失
業了!
都是那個可惡的
閃電集團搞的!","// init NAME_BLANK, $19
All the men in the village are unemployed!
It's all because of those damned Volt people!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","6466","","// init NAME_BLANK, $1c
如果使用彩虹水
晶，
當成高速賽車的
核心的話，
那一定就是最高
級的高速賽車!","// init NAME_BLANK, $1c
All the best racing cars use a Rainbow Crystal in their core! It's ir- replaceable!","","","translation liberties time","","","","","","","","","","","","","","","","","","","",""
"0e","64ad","","// init NAME_BLANK, $20
這次不能忘記⋯
不然頭目就⋯
趁沒有人看的時
候⋯
寫在手心裡⋯
壁⋯櫥⋯裡⋯⋯","// init NAME_BLANK, $20
This time, we can't forget it again..
Or Laki will...
I think I'll write it on the palm of my hand while no one is looking...
It's... in... the closet...","","","it just says ""the leader"" but it's more fun to mention a name","this is clearly referring to the hidden closet passage","","","","","","","","","","","","","","","","","","",""
"0e","64f7","","// init NAME_BLANK, $20
呀!!!
你怎麼在這裡!
走開!","// init NAME_BLANK, $20
?!
This is none of your business!
Now SCRAM!","","","","","","","","","","","","","","","","","","","","","","",""
"0e","6515","","// init NAME_BLANK, $15
哎~
老公都失業了⋯
像這種豐盛的午
餐，
不曉得還能煮幾
回?","// init NAME_BLANK, $15
Now that my husband is unemployed...
I don't know when I'll be able to cook such fancy lunches again.","","","
what does sumptuous mean","sumptuous means a very nice lunch, something like that","yeah, let's just use the simpler word","","","","","","","","","","","","","","","","","",""
"0e","6550","","// init NAME_BLANK, $1b
聽說科技城的
雷歐，
和閃電隊賽車輸
了三千萬!
這種結果是一定
的。
因為彩虹水晶停
産了，
一定做不出好的
賽車的。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","65b8","","// init NAME_BLANK, $1e
爸爸的口袋裡，
有一顆七彩的水
晶耶!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","65de","","// init NAME_BUCK, $01
水晶?
給巴克‧雷歐博
士‧要!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","65fc","","// init NAME_BLANK, $1e
不~要!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6607","","// init NAME_BLANK, $20
站住!
這裡是閃電隊的
地盤，快走!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","662c","","// init NAME_BALLOT, $2d
壁櫥裡有個洞!
打開了!!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6647","","// init NAME_20, $30
輸、入、密、碼
?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","665b","","// init NAME_BUCK, $01
巴洛特‧巴克‧
試試。
巴克‧要‧隊伍
‧前頭。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6689","","// init NAME_BALLOT, $2d
壁櫥裡有個洞!
打開了!!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","66a4","","// init NAME_20, $30
輸、入、密、碼
?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","66b8","","// init NAME_BUCK, $01
巴克‧解碼。
¢2#×°£
MKC-+3
密碼:
97‧35","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","66eb","","// init NAME_20, $30
正確~正確。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","66fa","","// init NAME_22, $32
你們是誰?
侵入祕密基地的
傢伙，
要給你們一點教
訓!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","672d","","// init NAME_22, $32
可惡!
這裡失守了嗎?
雖然對不起頭目
及大姐頭，
但還是徹退吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","676a","","// init NAME_22, $32
不行~
得趕快徹退才行
!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6784","","// init NAME_22, $32
你們是誰?
讓開!
不要擋住我徹退
的路!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","67ae","","// init NAME_22, $32
可惡!
雖然被打敗了，
但你還是阻止不
了我的徹退的!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","67e0","","// init NAME_BALLOT, $00
這一定就是彩虹
水晶了!
雷歐博士有了這
個，
一定就可以打敗
閃電隊了!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6821","","// init NAME_BALLOT, $2a
得到彩虹水晶。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6832","","// init NAME_BLANK, $12
閃電集團莫名奇
妙的跑光了!
又可以恢復工作
了。
從來不曉得，
有工作的感覺是
這麼美妙!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6882","","// init NAME_BLANK, $14
霸佔水晶礦坑的
閃電集團消失了
這真是個天大的
好消息。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","68b3","","// init NAME_BLANK, $19
前幾天經過科技
城的發電塔，
結果發現了一隻
好大的貓怪!
真是可怕!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","68f4","","// init NAME_BLANK, $15
哈哈哈~
老公又有工作了
!
煮頓超豪華料理
吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6923","","// init NAME_BLANK, $1e
爸爸的口袋裡，
有一顆七彩的水
晶耶!
這是我的寶藏，
才不要給任何人
!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6967","","// init NAME_1C, $29
這不是彩虹水晶
嗎?
真是太好了!
等等~
這就把黃金鳳凰
號的核心換掉。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","69a6","","// init NAME_1C, $29
⋯⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","69ae","","// init NAME_1C, $29
⋯⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","69b6","","// init NAME_1C, $29
完成了!
真‧黃金鳳凰號
!
有了這個，
就一定可以打敗
閃電隊了!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","69ef","","// init NAME_BALLOT, $00
嗯，一定可以的
。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6a00","","// init NAME_1C, $29
⋯⋯⋯
有了上次輸了的
陰影⋯
我還是不敢⋯⋯
你就拿我的~
真‧黃金鳳凰號
和閃電隊比賽吧
⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6a52","","// init NAME_BALLOT, $2a
得到鳳凰號!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6a61","","// init NAME_1C, $29
⋯⋯⋯
有了上次輸了的
陰影⋯
我還是不敢⋯⋯
你就拿我的~
真‧黃金鳳凰號
和閃電隊比賽吧
⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6ab3","","// init NAME_1E, $27
峨~呵呵呵~
你們終於來了。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6acf","","// init NAME_1F, $28
在下還以為，
你們夾著尾巴逃
走了!
即使沒有勝算，
還是要比嗎?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6b0b","","// init NAME_1E, $27
峨峨峨峨~
呵呵呵呵!
三千萬就要到手
了!
夢想就要實現了
!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6b3f","","// init NAME_1F, $28
還是不甘心敗在
在下的手中嗎?
反正再幾次都一
樣。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6b6f","","// init NAME_1E, $27
峨~呵呵呵~
我就展現高貴的
耐心，
再給你們一次機
會吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6ba5","","// init NAME_1F, $28
在下⋯輸了?
不⋯不可能!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6bbd","","// init NAME_BLANK, $1b
萬歲!
雷歐的鳳凰號果
然贏了!
我早就說過，
雷歐才是最厲害
的發明家!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6c02","","// init NAME_BALLOT, $00
哈哈哈~
那三千萬的賭金
，
就這麼算了吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6c29","","// init NAME_BUCK, $01
⋯巴克‧不能‧
笑⋯⋯
巴克⋯⋯想⋯⋯
笑⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6c51","","// init NAME_1E, $27
慢⋯慢⋯慢⋯
慢著著著著!!
我還有最後的終
極祕密武器!
就是這個按鈕!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6c92","","// init NAME_1F, $28
在下真是佩服拉
琪的智慧。
只要輕輕這麼一
按~
一按峨!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6cc8","","// init NAME_1E, $27
沒‧有‧錯!
峨~呵呵呵呵~
就會『磅』的一
下唷!
不管如何，
你們還是準備
三千萬吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6d1a","","// init NAME_BLANK, $19
雷歐博士終於打
敗了閃電隊!
我們之前都錯怪
他了。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6d47","","// init NAME_BLANK, $17
這裡是全世界最
大的製作高速賽
車的城市。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6d70","","// init NAME_BLANK, $1f
很久很久之前，
雷歐的曾祖父和
其他七名科學家
曾經拯救過地球
。
所以城裡的人都
尊敬他。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6dc7","","// init NAME_BLANK, $12
雷歐博士果然是
世界第一的機械
發明家。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6dec","","// init NAME_BLANK, $13
槽糕⋯
我的水藍鑽石項
鍊，
藏到哪裡去了?","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6e16","","// init NAME_1D, $1a
荳荳這台光速美
少女初號機，
找到一個藍色石
頭。
光速美少女初號
機~~
使用價值945
6億的粉碎鑽頭
粉碎藍色石頭!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6e80","","// init NAME_BLANK, $13
慢⋯慢‧著!
哇!!!!!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6e99","","// init NAME_1C, $29
哈哈哈~
果然打敗了閃電
隊!
但是發電塔還是
被佔領了!
一定要想辦法解
放發電塔才行。
巴洛特，
就麻煩你到發電
塔，
去察看停電的原
因吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6f19","","// init NAME_21, $31
喵嗚~嗚。
zZ~zZ~","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6f32","","// init NAME_BALLOT, $2c
不行!
整個入口都被貓
怪擋住了!
得回去向博士報
告才行!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6f6b","","// init NAME_1C, $29
什麼?貓怪?
該怎麼辦才好⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6f86","","// init NAME_1C, $29
有了!
使用老鼠來吸引
牠的注意力!
但是沒有電力，
該怎麼製作呢⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","6fc3","","// init NAME_1C, $29
真叫人生氣!
在不得已的情況
下，
只好使用發條的
製品了。
雖然那會非~常
的丟臉⋯⋯
你等一下~
我找一下零件⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7026","","// init NAME_1C, $29
槽糕~
我一直認為，
製做發條的機械
製品，
是可恥的行為。
所以把它們全丟
了!
巴洛特，抱歉了
。
得找到發條才行
!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7090","","// init NAME_BALLOT, $00
我知道了!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","709b","","// init NAME_1C, $29
要做成機械老鼠
，
得找到發條才行
。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","70c0","","// init NAME_BLANK, $16
發條?
雷歐博士要的嗎
?
沒想到他也會要
這種東西⋯
發條放在⋯在⋯
在⋯⋯
在哪裡?
峨~今天的天氣
真是好呀!
只是烏雲多了點
。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7136","","// init NAME_BLANK, $16
對了!
就是發條嘛!
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，
自已找吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","717b","","// init NAME_BLANK, $16
發條?
我忘了放哪裡了
⋯⋯
就在這些寶貝堆
裡，自已找吧!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","71b4","","// init NAME_BALLOT, $2a
得到了發條!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","71c3","","// init NAME_1C, $29
沒有錯!
這就是我想要的
發條⋯
實在是很丟臉⋯
唉~
蒙著臉做就不會
這麼覺得吧!
等我一下下~","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7217","","// init NAME_1C, $29
這就是發條老鼠
。
沒想到蒙著臉，
還是覺得一樣的
丟臉~
喂~巴洛特!
千萬不可以說出
去唷。","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","726f","","// init NAME_BALLOT, $2a
得到了發條老鼠
!","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7283","","// init NAME_1C, $29
有了發條老鼠，
應該就可以引開
發電塔的貓怪了
吧。
哎呀~
想到就覺得丟臉
⋯⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","72ce","","// init NAME_21, $31
喵嗚~喵~
嗚嗚~","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","72e2","","// init NAME_BALLOT, $00
乖貓咪~
快點走開唷~","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","72fa","","// init NAME_BALLOT, $2d
啊!
發條的動力用完
了⋯","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
"0e","7316","","// init NAME_21, $31
嗚~喵吼喵吼吼
!
(可惡!)
(上當了)","","","","","See the _external spreadsheet","repoint_extern","","","","","","","","","","","","","","","","","",""
