"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","text_kind","notes","","","","","","","","","","","","","","","","","","",""
"0f","4b28","","// init $1e, $27
峨~呵呵呵!
有了三千萬，
我們的夢想就⋯
","// init NAME_1E, $27
Eheheheh~!
With these 30 million yen, our dream can finally...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4b4c","","// init $1f, $28
跟在下想的，
一點都沒錯。
這樣一來⋯⋯
","// init NAME_1F, $28
Just so! Now we can....","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4b71","","// init $1e, $27
你你⋯你⋯你
⋯你怎麼來的?
","// init NAME_1E, $27
Y-y-yo-you?!
How did you get here?!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4b86","","// init $1f, $28
可惡!
你是來破壞在下
的夢想的嗎?
就讓你們來點愛
的教育吧!
","// init NAME_1F, $28
You- Are you here to ruin our dreams again? I think it's time to teach you a lesson!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4bc3","","// init $1e, $27
可可⋯可
⋯可惡!
你⋯你你⋯們給
我⋯記⋯記住!
","// init NAME_1E, $27
Y-you! You'd better remember this!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4bf0","","// init $1f, $28
這次在下就放了
你!
要記住在下的恩
惠!
在下是代表了~
愛、正義、勇氣
的閃電隊!
","// init NAME_1F, $28
We'll let you go this time!
You'd better remember this mercy!
Truth, justice and courage: Team Volt, out!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4c3c","","// init $01, $2b
真是⋯⋯⋯
","// init $01, $2b
These guys...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4c47","","// init $01, $00
這個開關是⋯⋯
","// init $01, $00
If I flip this...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4c56","","// init $00, $1f
啊!
電力又回復了?
第一次覺得，
光明是這麼的幸
福。
","// init NAME_BLANK, $1f
Ah! The power is back?
I've never been this glad to see the light.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4c89","","// init $00, $1b
原來電力塔早就
被閃電隊佔領了
這次能回復電力
，
真是感謝你及雷
歐。
","// init NAME_BLANK, $1b
Apparently the power went out because of Team Volt.
Thank you, Ballot, for bringing it back!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4cc8","","// init $00, $16
好⋯好刺眼⋯⋯
眼晴好不容易習
慣了黑暗，
對於這麼亮的燈
光，
真有點吃不消⋯
","// init NAME_BLANK, $16
It-It's blinding...
My eyes had just gotten used to the dark, and suddenly the blinding lights came back on...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4d0f","","// init $00, $19
果然需要雷歐出
馬，
才能打敗閃電隊
。
雷歐博士是最棒
的機械發明家。
","// init NAME_BLANK, $19
In the end, Team Volt was only defeated with Dr. Leo's assistance.
He certainly is the best inventor in the world.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4d50","","// init $00, $17
你聽過加爾企業
嗎?
那可是二大知名
企業之一啊!
加爾企業及邦林
企業，
都是數一數二的
大企業喲。
","// init NAME_BLANK, $17
Have you heard of Gale Enterprises?
It's one of the biggest companies in the world, second only to Bang Lin!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4da4","","// init $00, $21
嗚~嗚~
電燈又亮了，
人家又要上學了
!
嗚~~嗚~
","// init NAME_BLANK, $21
Waaah!
The lights are back on, so we have to go to school!
Waaah!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4dd5","","// init $00, $16
這裡是科技城的
廢鐵集中場。
別看這些破破爛
爛的東西，
這些全是我的寶
貝!
","// init NAME_BLANK, $16
This is the scrapyard of Tech City. They may look like pieces of junk, but to me, they're treasure!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4e1b","","// init $00, $12
前陣子的流星雨
，
打壞了通往多魯
市的道路。
這該怎麼辦呢?
","// init NAME_BLANK, $12
That meteor shower earlier wrecked most of the roads from here to Dorington!
What shall I do?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4e54","","// init $00, $16
就是你救了博特
嗎?
實在是非常的感
謝!
這個就送給你了
，
真是相當的感謝
。
","// init NAME_BLANK, $16
You were the one who saved Burt?
Thank you! Please take this as a token of my gratitude!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4e9b","","// init $00, $16
真是相當的感謝
。
","// init NAME_BLANK, $16
I can't stress how grateful I am!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4eae","","// init $23, $17
非常的感謝您。
","// init NAME_23, $17
Thank you very much for the rescue.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4ebe","","// init $19, $22
電力又回復了，
一大堆帳要補登
記⋯
忙死了⋯⋯
需要什麼服務嗎
?
","// init NAME_19, $22
The electricity is back, so I have a pile of documents to work on..
I'm very busy, so is there anything you need?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4efb","","// init $14, $25
需要妮可治療嗎
?
","// init $14, $25
Do you need my treatment?","// init $14, $25
As-tu besoin de mes services?","","choicer","","","","","","","","","","","","","","","","","","","",""
"0f","4f13","","// init $1a, $25
這裡是星獸膠囊
存放銀行。
需要艾娜的服務
嗎?","// init $1a, $25
This is the Star Beast Storage Bank. Do you need my help?","// init $1a, $25
Voici le système de stockage de Bêtoiles.
As-tu besoin de mon aide?","","choicer","","","","","","","","","","","","","","","","","","","",""
"0f","4f42","","// init $1b, $4c
博士終於做好了
反重力裝置了!
身為加爾企業採
購部經理的我，
終於可以回去參
加重要的會議了
","// init NAME_1B, $4c
Dr. Leo finally finished his anti-gravity device! As the manager of the procurement department of GaleCorp, I can finally return for my important meeting!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4f94","","// init $1c, $29
啊啊啊啊啊!!
巴洛特啊!
你來的剛剛好!
了不起的大發現
!
","// init NAME_1C, $29
AAAAAAAHHH!!
Ballot! You're right on time!
There's been a major breakthrough!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4fca","","// init $01, $2d
了不起的發現?
","// init NAME_BALLOT, $00
A major breakthrough?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","4fdc","","// init $1c, $29
我看了你的設計
圖，
這可是不得了的
東西喲!
這可是一台超越
想像的太空船!
太‧空‧船‧峨
!
你為什麼會有這
張設計圖?
","// init NAME_1C, $29
I took a look at those blueprints you gave me, and they're truly wonderful!
These blueprints are for a giant spaceship!
Where could you have gotten these?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","504b","","// init $01, $2b
這是爸爸唯一留
下的東西⋯⋯
我一直在想，
如照著爸爸的
目標走，
一定可以相遇的
。
","// init NAME_BALLOT, $2b
This is the only thing my father left behind..
I hoped that by following in his footsteps, I'd figure out where he went.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5097","","// init $1c, $29
是這樣啊!
⋯⋯⋯⋯這是什
麼?
設計圖的『核』
，
怎麼有八個空白
的部份?
⋯⋯⋯
慢著⋯或許⋯⋯
","// init NAME_1C, $29
Oh, I see...
Wait, what's this?
In the blueprints for the Core, there are 8 missing pieces...
Unless...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","50ed","","// init $1c, $29
就是這個!
『動力晶片』!
這是核
心
的
一部份!
就我所知，
這晶片共有八
個，
分別由八個科學
家保管。
喂喂~巴洛特!
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片，
好嗎?
","// init NAME_1C, $29
I've got it!
These sections correspond to the power circuits, which are the most important piece of the core!
As far as I can gather, those chips should be in the possession of 8 scientists, and I have one of them.
Ballot!
You want to find your father, don't you? How about we make a deal?
I'll finish the hull of the spaceship, while you go and hunt down the other 7 chips so that we can make this thing fly.
How about that?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","51c1","","// init $01, $2d
動力晶片?
爸爸一定也想解
開這個謎團。
好的!
雷歐博士~
我答應你。
","// init NAME_BALLOT, $2d
Power circuits?
Dad must have been trying to solve the mystery of these little things.
Alright!
Dr. Leo, it's a deal!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5200","","// init $1b, $4c
這個晶片?
我好像在董事長
那裡，
看過類似的東西
。
但董事長發生了
一件令人難過的
事情⋯
一言難盡⋯⋯
巴洛特要是來到
加爾企業，
我再幫你引見董
事長。
各位，再見了。
","// init NAME_1B, $4c
These circuits?
I think I remember the chairman having something like that once, but something unfortunate happened since then...
It's kind of hard to explain...
Ballot, if you come over to Gale Corp, I'll help you make an appointment with the chairman.
I've got to go now, see you!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5299","","// init $1c, $29
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片。
","// init NAME_1C, $29
You want to find your father, don't you?
I'll finish the hull of the spaceship, so go and hunt down the other 7 chips so that we can make this thing fly.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","52fb","","// init $1c, $29
巴洛特~
慢著慢著!
先不要急著走。
","// init NAME_1C, $29
Ballot, hold on! Don't leave in such a hurry!","","","","dupe, but split","","","","","","","","","","","","","","","","","","",""
"0f","531f","","// init $1c, $29
這個給你!
這是晶片追蹤器
及傳送PDA。
有了它，就可以
知道，
乘餘晶片的所在
位置了!
PDA則是方便
你~
將得到的晶片，
傳輸給我。
","// init NAME_1C, $29
This is for you!
It's a tracker to help you find the circuits, along with a PDA.
With this, you can find out where all the chips are!
The PDA will be convenient as well: you can use it to send the diagrams you find to me.","","","","dupe, but split","","","","","","","","","","","","","","","","","","",""
"0f","538f","","// init $01, $2a
得到了追蹤器!
","// init NAME_BALLOT, $2a
Got the Chip Tracker!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","539e","","// init $01, $2a
得到了PDA!
","// init NAME_BALLOT, $2a
Got the PDA!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","53ad","","// init $1c, $29
巴克~
你也跟著巴洛特
吧!
多個人，也好彼
此照應。
","// init NAME_1C, $29
Buck, why don't you go with Ballot?
With more people in the party, it'll be safer for him to travel.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","53e1","","// init $02, $01
博士‧巴克‧
巴克⋯
","// init NAME_BUCK, $01
ＤＯＣＴＯＲ．．．． ＢＵＣＫ．．． ＢＵＣＫ．．．","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","53f6","","// init $1c, $29
我知道你在想什
麼!
等你回來~
我一定想辦法將
你變得像個人類
好嗎?
","// init NAME_1C, $29
I know what you're thinking!
Once you return safely, I'll figure out something to make you more humanlike!
How about that?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5439","","// init $02, $01
博士‧真的?
","// init NAME_BUCK, $01
ＤＯＣＴＯＲ．．． ＲＥＡＬＬＹ？","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5446","","// init $1c, $29
就這樣改一改⋯
就是這裡⋯
⋯⋯⋯
OK!
改造完畢!
巴克的新式機械
鳥，
將可搭載巴克，
飛過小型的凹地
!
","// init NAME_1C, $29
Just tweak this, and solder that...
OK! The modifications are complete!
Buck, this brand new robot bird is for you!
I've named it Beattro, and it can carry you across small bumps in the road!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","54ad","","// init $01, $2a
巴克&機械鳥
加入隊伍!
","// init NAME_BALLOT, $2a
Buck and Beattro joined the party!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","54c5","","// init $18, $2f
星獸‧機械鳥加
入隊伍。
如果將巴克置於
隊伍前頭，
可籍由機械鳥的
力量，
飛越地圖的小型
凹洞。
","// init NAME_18, $2f
Star Beast Beattro joined the party. If Buck is leading the party, he can use Beattro's power to cross small holes in the ground.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5521","","// init $1c, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。
","// init NAME_1C, $29
Go on! You can start at GaleCorp, and find the other 7 chips from there.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","554f","","// init $1c, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。
","// init NAME_1C, $29
Go on! You can start at GaleCorp, and find the other 7 chips from there.","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","557d","","// init $01, $2b
這個洞⋯
該怎麼通過呢?
","// init NAME_BALLOT, $2b
This hole... How will we cross it?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5595","","// init $02, $01
巴洛特‧巴克‧
換‧在排頭。
機械鳥‧飛‧地
洞。
","// init NAME_BUCK, $01
ＢＡＬＬＯＴ！ ＬＥＴ ＢＵＣＫ ＬＥＡＤ． ＢＥＡＴＴＲＯ ＣＡＮ ＦＬＹ ＯＶＥＲ ＨＯＬＥＳ．","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","55c3","","// init $00, $1d
哼!
小毛用他的長腳
龜一號欺負人家
人家才不要!!
爸爸~
好不好啦~
爸爸~
幫人家改裝這台
粉紅豬三號啦!
","// init NAME_BLANK, $1d
Hmph! Hairy's been bullying people with Tourtega Mk.I!
Dad, please help me modify Pippo Mk.III to stop him!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5627","","// init $00, $1c
衝呀!
我的高速賽車~
長腳龜一號!
只要那些壞人再
來的話，
我就用這個打敗
他
們
!
","// init NAME_BLANK, $1c
Take a look! My high-speed racing car! Tourtega Mk.I! If those scoundrels come again, I'll beat them with this!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5673","","// init $00, $1f
很久很久之前，
雷歐的曾祖父和
其他七名科學家
曾經拯救過地球
。
所以城裡的人都
尊敬他。
","// init NAME_BLANK, $1f
A long time ago, Leo's great-
grandfather and seven other scientists saved the Earth, so everyone in this city respects him.","","","","slight modification","","","","","","","","","","","","","","","","","","",""
"0f","56ca","","// init $00, $19
雷歐博士已經上
了年紀，
又沒有小孩子。
所以製造了一隻
叫巴克的機器人
是我的錯覺嗎?
每次一看到巴克
，
就覺得他很憂鬱
⋯⋯
","// init NAME_BLANK, $19
Dr. Leo is aging, yet he has no children.
So, he built a robot named Buck.
Is it just me, or is it that every time I see Buck, I get the feeling that he is somewhat depressed...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","573b","","// init $00, $16
科技城是座窒內
都市，
照明的設備都需
要電力來驅動。
可是，
為了要防止類似
這種形情發生，
電力塔內設有特
殊防範措施啊!
真是奇怪⋯
","// init NAME_BLANK, $16
Tech City is an enclosed city, and all our lights are electric lights.
But there are special precautions in the power station to prevent situations like this from happening!
How odd...","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","57ad","","// init $00, $13
要大家湊這三千
萬，
真是開玩笑!
把這個藏起來~
荳荳!
那個也是!
呀!!
你看到了什麼嗎
?
我什麼都沒有做
唷!
","// init NAME_BLANK, $13
What a joke!
They're asking everyone to chip in to cover the ¥30 million they lost!
Hide this!
That one too! Yeah!
Did you see anything? There's nothing here, buddy!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5811","","// init $00, $1b
終於來電了!
","// init NAME_BLANK, $1b
Hey, the power's back!","","","","","","","","","","","","","","","","","","","","","","",""
"0f","5820","","// init $1d, $1a
媽媽?
荳荳這台光速美
少女初號機，
要不要藏起來?
荳荳的光速美少
女初號機，
價值9456億
喲!
","// init NAME_1D, $1a
Mom? Do you want to hide Dot's machine too?
It goes at the speed of light! It's probably worth ¥9456 billion!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5877","","// init $00, $13
不‧用!
","// init NAME_BLANK, $13
There's no need!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5881","","// init $1d, $1a
荳‧荳‧要‧藏
‧起‧來‧啦!
","// init NAME_1D, $1a
I'll hide it anyway!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","58a2","","// init $00, $13
槽糕⋯
我的水藍鑽石項
鍊，
藏到哪裡去了?
","// init NAME_BLANK, $13
Darn it... Where did my diamond necklace go?","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","58cc","","// init $1d, $1a
荳荳這台光速美
少女初號機，
找到一個藍色石
頭。
光速美少女初號
機~~
使用價值945
6億的粉碎鑽頭
粉碎藍色石頭!
","// init NAME_1D, $1a
Dot's lightspeed machine found a diamond, and it used its drill (worth ¥9456 billion) to crush it to pieces!","","","","dupe","","","","","","","","","","","","","","","","","","",""
"0f","5936","","// init $00, $13
慢⋯慢‧著!
哇!!!!!
","// init NAME_BLANK, $13
W... Wait, what?! 
Aaah!","","","","dupe","","","","","","","","","","","","","","","","","","",""
