"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","text_kind","","","","","",""
"0e","4d10","","// init NAME_BALLOT, $2d
小白?
是小白沒有錯
!
你是怎麼了?
這是怎麼回事?","// init NAME_BALLOT, $2d
Snowy?
It is you!
What happened?
How did this happen?","// init NAME_BALLOT, $2d
Flocon?
C'est bien toi!
Qu'est-ce qui t'est arrivé?
Qu'est-ce qui s'est passé?","// init NAME_BALLOT, $2d
Si Putih?
Itu memang kamu!
Apa yang terjadi?
Bagaimana ini terjadi?","","","","","","","",""
"0e","4d42","","// init NAME_SNOWY, $09
嗚汪~汪~","// init NAME_SNOWY, $09
Ruff! Ruff!","// init NAME_SNOWY, $09
Waf! Waf!","// init NAME_SNOWY, $09
Wuf! Wuf!","","","","","","","",""
"0e","4d50","","// init NAME_BALLOT, $00
看來發生了大事
情了!
小白!
我們去找伊隼人
吧!","// init NAME_BALLOT, $00
It seems like something big has happened!
Snowy!
Come on, let's go find Hayato!","// init NAME_BALLOT, $00
Il s'est passé quelque chose de grave!
Flocon!
Viens, il faut qu'on trouve Hayato!","// init NAME_BALLOT, $00
Sepertinya sesuatu yang besar telah terjadi!
Si Putih!
Yuk, kita cari Hayato!","","","","","","","",""
"0e","4d81","","// init NAME_18, $2f
星獸~小白加入
了隊伍。","// init NAME_18, $2f
Snowy joined your party!
","// init NAME_18, $2f
Flocon rejoint l'équipe!","// init NAME_18, $2f
Si Putih bergabung denganmu!
","","","","","","","",""
"0e","4d99","","// init NAME_BLANK, $1b
亞斯塔的天文台
毀了。
但從天文台裡，
並沒有發現任何
屍體。
巴洛特啊!
你父親一定沒有
死的。
自己一個人也要
加油峨!","// init NAME_BLANK, $1b
The observatory has been destroyed.

Yet, no bodies were found within the observatory.
Ballot!
Your father must be alive somewhere. You'll have to be self-sufficient for now!","// init NAME_BLANK, $1b
L'observatoire a été détruit.

Mais aucun corps n'a été découvert dans les ruines.
Ballot!
Ton père doit être vivant, quelque part. Il faut que tu sois indépendant pour le moment!","// init NAME_BLANK, $1b
Observatorium sudah rata dengan tanah.

Beruntungnya, tidak ada badan yang ditemukan diantara rongsokan observatorium.

Ballot!
Bapakmu pasti masih hidup. Untuk sekarang kamu harus bisa mandiri!",":WHO: IS YASUDA
maybe we can omit mysterious guy's name entirely","","","rip yasuda","","","",""
"0e","4e05","","// init NAME_BLANK, $13
新聞報導說道:
昨天的流星雨，
某些擊中了動物
。
被擊中的動物，
瞬間就變成了怪
獸!
科學家稱之為~
~星獸。
啊!
巴洛特~
小心你的後面啊
!!!","// init NAME_BLANK, $13
The news reports say that yesterday's meteor shower hit a few animals.

Some of the affected animals turned into mysterious creatures!

Scientists have tentatively named them - Star Beasts.

...Wait, Ballot, what's that behind you?

AHH!! BALLOT!! WATCH OUT!","// init NAME_BLANK, $13
Les infos disent que les météores de la pluie d'hier ont frappé des animaux.

Les animaux touchés se sont transformés en monstres!

Les scientifiques les ont nommés - Bêtoiles.

... Attends, Ballot... Qu'est-ce qu'il y a derrière toi?

AAAH! ATTENTION!","// init NAME_BLANK, $13
Berita-berita mengatakan hujan meteor kemarin kena beberapa binatang.

Beberapa binatang yang kena meteor berubah menjadi makhluk misterius!

Untuk sekarang, para ilmuwan menamai mereka - Makhluk Bintang.

...Tunggu, Ballot, ada apa dibelakang kamu?

AHH!! BALLOT!! AWAS!","","","","","","","",""
"0e","4e82","","// init NAME_BLANK, $20
萬歲!
因為流星雨的關
係，
今天不用上課唷
!
萬歲!","// init NAME_BLANK, $20
Hooray!
No class today because of the meteor shower!","// init NAME_BLANK, $20
Hourra!
A cause de la pluie de météores, y'a pas cours aujourd'hui!","// init NAME_BLANK, $20
Hore!
Hari ini tidak ada kelas karena hujan meteor!","","","","","","","",""
"0e","4eb4","","// init NAME_BLANK, $1d
巴‧洛‧特~
人家的餅乾做好
了唷!
超‧好‧吃!
嗚哇!巴洛特被
怪獸追了!","// init NAME_BLANK, $1d
Ballot! I made cookies!
Super de-li-cious!
Ahh! Look out! You're being chased by one of those Star Beasts!","// init NAME_BLANK, $1d
Ballot! J'ai préparé des gâteaux!
Ils sont su-per bons!
Aah! Attention! Il y a une Bêtoile qui te poursuit!","// init NAME_BLANK, $1d
Ballot! Aku membuat kue!
E-nak se-ka-li!
Ahh! Awas! Kamu dikejar Makhluk Bintang!","","","","","","","",""
"0e","4efa","","// init NAME_BLANK, $16
唉呀~
怎麼天空上有一
道裂縫呢?
一定是我眼睛又
花了。","// init NAME_BLANK, $16
Uhh... Is that a crack in the sky, or am I going mad?","// init NAME_BLANK, $16
Hmm... Pourquoi y a-t-il une brèche dans le ciel?
Ca doit être mon imagination.","// init NAME_BLANK, $16
Ahh... itu langitnya terbelah, atau memang saya mulai menggila?","
must be the ""imagination"" guy from earlier, he should take his normal pills","","","","","","",""
"0e","4f2f","","// init NAME_BLANK, $19
我看到了!
看到了!
昨晚一群隕石，
碰的一聲，
就砸到天文台了
!
還有我家的小白
兔，
也被流星打到，
變成怪獸!
我嚇得把牠們都
丟掉了!","// init NAME_BLANK, $19
I saw it! I saw it!
Last night a bunch of meteors hit the observatory with a bang!
My rabbits got hit too, and they turned into monsters!
I was so scared that I got rid of them all!","// init NAME_BLANK, $19
Je l'ai vu! Vraiment!
La nuit dernière, plusieurs météores se sont écrasés sur l'observatoire!
Mes lapins ont aussi été frappés, et se sont transformés en monstres!
J'ai eu si peur que je m'en suis débarrassée!","// init NAME_BLANK, $19
Aku melihatnya! Aku melihatnya!
Tadi malam ada meteor mengedor observatorium!
Kelinci-kelinciku kena, dan mereka berubah menjadi monster!
Saking takutnya sehingga aku membuang mereka!","machine translation assisted
throwing away rabbits lol","","literally ""throwing away"" lol","","","","",""
"0e","4fa5","","// init NAME_BLANK, $22
槽糕了!
聽說被流星擊中
的動物都變成了
星獸。
某些星獸還在當
地造成破壞。
這可怎麼辦⋯⋯
為了隼人的安全
著想，
我還是買下一個
防衛軍團好了!","// init NAME_BLANK, $22
It's a disaster! The animals hit by the meteors have become Star Beasts!
Some of them are still rampaging about nearby.
What should I do? I'd better hire a team of bodyguards for Hayato!","// init NAME_BLANK, $22
C'est terrible! Les animaux frappés par les météores se sont transformés en Bêtoiles!
Certains sont encore en train de se déchaîner dans les parages. 
Qu'est-ce je fais?! Je ferais mieux d'engager des gardes du corps pour Hayato!","// init NAME_BLANK, $22
Ini bencana! Hewan-hewan yang terkena meteor berubah menjadi Makhluk Bintang!
Beberapa diantaranya masih berkeliaran di sini.
Apa yang harus saya lakukan? Sebaiknya saya menyewa pengawal untuk Hayato!","","","","","","","",""
"0e","5023","","// init NAME_12, $26
OH~
BABY~
巴洛特有什麼事
情呢?
咦?
天才機械發明家
?
他叫雷歐博士，
住在隔壁的
科技城啊!
巴洛特想和我一
起去嗎?
什麼?
你說不用麻煩了
?
OH~
BABY~
你還是這麼害羞
。
我雖然高貴，
但很樂意照顧像
你這種孤兒唷!","// init NAME_12, $26
Oh, baby~ What's up?
Huh? You want to know about a genius mechanical inventor?
I know one, his name is Dr. Leo! He lives in the next city over, Tech City~
Do you want to go there with me?
No? You don't need me to?
Oh, baby~
You're still so shy. I may be noble, but I'm happy to take care of an orphan like you!","// init NAME_12, $26
Oh, baby~ Comment ça va?
Hm? Tu veux que je te parle du mécanicien de génie?
Son nom est Dr. Léo! Il vit dans la ville d'à côté, Technoville.
Tu veux que j'y aille avec toi? 
Non? Tu veux pas?
Oh, baby~
Tu es si timide. Je suis peut-être riche, mais je suis toujours ravi de m'occuper d'orphelins comme toi!","// init NAME_12, $26
Oh, baby~ Ada apa?
Ha? Kamu ingin tahu seorang penemu mekanik genius?
Aku tahu seseorang, namanya Dr. Leo! Dia tinggal di Kota Tekno, kota sebelah~
Apa kamu ingin diantar?
Tidak? Tidak perlu?
Oh, baby~
Kamu masih begitu pemalu. Aku memang luhur, tapi aku akan senang mengasuh yatim piatu sepertimu!","","","","","","","",""
"0e","50f6","","// init NAME_12, $26
OH~
BABY~
巴洛特有什麼事
情呢?
咦?
天才機械發明家
?
他叫雷歐博士，
住在隔壁的科技
城啊!","// init NAME_12, $26
Oh, baby~ What's up?
Huh? You want to know about a genius mechanical inventor?
I know one, his name is Dr. Leo! He lives in the next city over, Tech City~","// init NAME_12, $26
Oh, baby~ Quoi de neuf?
Hm? Tu veux que je te parle du mécanicien de génie?
Son nom est Dr. Léo! Il vit dans la ville d'à côté, Technoville.","// init NAME_12, $26
Oh, baby~ Ada apa?
Ha? Kamu ingin tahu seorang penemu mekanik genius?
Aku tahu seseorang, namanya Dr. Leo! Dia tinggal di Kota Tekno, kota sebelah~","","","","","","","",""
"0e","5154","","// init NAME_BLANK, $1f
是巴洛特啊~
啊啊啊!!!
快把那隻星獸帶
出去!
我才剛洗好了地
毯，
又被你弄髒了!","// init NAME_BLANK, $1f
Ahh!!! Not again!
Ballot, stop soiling my carpet and take that monster out with you!","// init NAME_BLANK, $1f
AAH!!! Pas encore!
Ballot, arrête de salir mon tapis et dégage ce monstre de là!","// init NAME_BLANK, $1f
Ahh!!! Lagi-lagi!
Ballot, berhenti mengotori karpetku dan bawa monster itu dengan kamu!","","","","","","","",""
"0e","519f","","// init NAME_SNOWY, $09
嗚~~
嗚汪汪汪!","// init NAME_SNOWY, $09
Awoooooo!","// init NAME_SNOWY, $09
Aouuuuuuh!","// init NAME_SNOWY, $09
Auuuuuuu!","uwu","","","","","","",""
"0e","51b1","","// init NAME_BLANK, $1f
啊啊啊啊啊啊!
不⋯⋯
不要咬我⋯⋯!
快⋯快出去!","// init NAME_BLANK, $1f
Ahhhhh!!!!! Don't bite me!!
G-Get away from me!","// init NAME_BLANK, $1f
Aaaah!!! Ne me mange pas...!
Va... Va-t'en!","// init NAME_BLANK, $1f
Ahhhhh!!!!! Jangan gigit aku!!
Hush!! Sana pergi!!","","","","","","","",""
"0e","51dd","","// init NAME_BLANK, $15
你是來找芳芳的
嗎?
芳~芳~!
妳朋友來找你唷
~","// init NAME_BLANK, $15
Did you come to find Fangfang?
Oh, Fangfang!
Your friend came to visit~","// init NAME_BLANK, $15
Es-tu venu voir Fangfang?
Hé, Fangfang!
Ton ami est venu te voir!","// init NAME_BLANK, $15
Apa kau datang mencari Fangfang?
Fangfang!
Temanmu datang kemari~","similar to 08:49db","","","","","","",""
"0e","520e","","// init NAME_BLANK, $18
賽亞是一個很棒
的天文科學家。
在我們天文科學
界，
他算是個天才吧
!
只是脾氣古怪了
一點⋯⋯","// init NAME_BLANK, $18
Saya is a great astronomer.
He's known as a prodigy in our little community! He's just a bit eccentric...
","// init NAME_BLANK, $18
Saiya est un astronome de renom.
C'est un vrai prodige dans notre petite communauté! 
Il est juste un peu excentrique...","// init NAME_BLANK, $18
Saiya seorang astronom yang hebat.
Dia dikenal jenius di antara masyarakat! Hanya saja, dia agak eksentrik...","same as 08:4a2e
is VF seriously storing identical maps for each scene or something????","","","","","","",""
"0e","5267","","// init NAME_13, $1a
你是來找我一起
玩的嗎?
好~高~興~","// init NAME_13, $1a
Are you here to play with me? I'm so glad!
","// init NAME_13, $1a
Tu es venu jouer avec moi? Youpi, merci!","// init NAME_13, $1a
Kakak ke sini mau main? Hore!","same as 08:4a87","","","","","","",""
"0e","528c","","// init NAME_BLANK, $15
流星雨過後，
賽亞就神祕的失
蹤了。
天文台也毀了⋯
巴洛特啊~
要振作唷!","// init NAME_BLANK, $15
No one's seen Saya since the meteor shower.
The observatory was also destroyed...
Pull yourself together, Ballot! I'm sure he'll be fine.","// init NAME_BLANK, $15
Personne n'a vu Saiya depuis la pluie de météores.
Et son observatoire a aussi été détruit...
Ne t'en fais pas, Ballot! Je suis sûr qu'il va bien.","// init NAME_BLANK, $15
Tidak ada yang melihat Saiya semenjak hujan meteor itu.
Observatoriumnya juga sudah luluh lantak...
Bertahanlah, Ballot. Saya yakin dia baik-baik saja.","","","","","","","",""
"0e","52d0","","// init NAME_14, $25
受傷了嗎?
如果受傷的話，
只要進去這個α
射線放射器裡，
一下下~
就會復原喲!
要是受傷了，
就來找妮可吧!","// init NAME_14, $25
Are you hurt?

If you're hurt, just enter this alpha ray emitter and you'll recover in a second! If you are injured, come to Nicole!","// init NAME_14, $25
Es-tu blessé?

Si tu t'es fait mal, entre juste dans cet émetteur de rayons alpha et tu seras comme neuf!
Si tu te blesses, passe me voir!","// init NAME_14, $25
Apakah Anda terluka?

Jika terluka, masuklah ke dalam pemancar sinar alfa ini dan anda akan pulih seketika! Jika anda terluka, datanglah ke sini!","see 08:4b14","","","","","","",""
"0e","5333","","// init NAME_BALLOT, $00
學校的門關起來
了!","// init NAME_BALLOT, PIC_BALLOT_0
The school's door is closed...","// init NAME_BALLOT, PIC_BALLOT_0
Les portes de l'école sont fermées...","// init NAME_BALLOT, PIC_BALLOT_0
Pintu sekolah terkunci...","see 08:4b77","","","","","","",""
"0e","5347","","// init NAME_BLANK, $12
從流星雨過後，
有時候可以在道
路上看到星獸。
只要將牠們的體
力減弱後，
使用這個膠囊，
就可以將牠們捉
起來了!
啊!就在那邊⋯
不要跑!!","// init NAME_BLANK, $12
After the meteor shower, Star Beasts are out and about.
After weakening them, you can use this capsule to catch them!
Ah! There's one over there... don't run!","// init NAME_BLANK, $12
Depuis la pluie de météores, les Bêtoiles rôdent dans les parages.
Après les avoir affaiblis, tu pux les capturer avec cette capsule!
Ah! Y'en a un là-bas... Reviens!","// init NAME_BLANK, $12
Setelah hujan meteor kemarin, Makhluk Bintang berkeliaran dimana-mana.
Setelah melemahkan mereka, kamu bisa pakai kapsul ini untuk menangkapnya!
Ah! Ada satu di sana... jangan lari!","
gotta catch 'em all","","","","","","",""
"0e","53c0","","// init NAME_BLANK, $1d
我查過歷史大事
記，
上面記載著~
一百多年前，
地球曾陷入危機
。
那個時候~
有八名科學家，
一起研究出了不
起的發明。
拯救了地球呢!","// init NAME_BLANK, $1d
According to the history books, more than 100 years ago, the Earth was in crisis.
Eight scientists of the time worked together to develop a remarkable invention.
They saved the Earth!","// init NAME_BLANK, $1d
D'après les livres d'histoire, il y a plus de 100 ans, un grand cataclysme a frappé la Terre.
Huit scientifiques de l'époque ont coopéré pour créer une invention remarquable.
Ils ont sauvé le monde!","// init NAME_BLANK, $1d
Menurut buku-buku sejarah, lebih dari 100 tahun yang lalu, Bumi berada dalam krisis.
Pada waktu itu, delapan ilmuwan bekerja-sama untuk membuat penemuan yang luar biasa.
Mereka berhasil menyelamatkan Bumi!","","","","","","","",""
"0e","5437","","// init NAME_BLANK, $1e
哇!!!!
不要跟爸爸說，
我偷捉星獸的事
情唷!
你也有星獸嗎?
較量一下吧!","// init NAME_BLANK, $1e
Wow!
Don't tell my Dad, but I managed to catch a Star Beast!
Whoa, you have one too? Let's battle 'em!","// init NAME_BLANK, $1e
Ouah!
N'en parle pas à papa, mais j'ai réussi à capturer une Bêtoile!
Oh, t'en as une aussi?
Faisons un combat!","// init NAME_BLANK, $1e
Wow!
Jangan bilang ke Bapak, tapi aku sudah menangkap Makhluk Bintang!
Wow, kamu ada juga? Yuk kita adu!","
guy in the 1st route who wants to battle","","","","","","",""
"0e","547a","","// init NAME_BLANK, $1e
好厲害。
約定好了，
不可以跟我爸爸
講峨!","// init NAME_BLANK, $1e
That was awesome!
Please promise not to tell my Dad!","// init NAME_BLANK, $1e
C'était trop cool!
S'il te plaît, ne dis rien à papa!","// init NAME_BLANK, $1e
Wow, keren!
Tolong, tolong jangan bilang Bapak!","lmao deepL got the subject of the second sentence completely wrong somehow","","","","","","",""
"0e","54a2","","// init NAME_BLANK, $1e
遜!","// init NAME_BLANK, $1e
Laaame!","// init NAME_BLANK, $1e
Trop nul!","// init NAME_BLANK, $1e
Ah, lemah!","
guy says this if you run away from the test battle","","","yea this is exactly what it looks like","","","",""
"0e","54aa","","// init NAME_BALLOT, $2d
奇怪?
這裡怎麼會這麼
昏暗?
怎麼回事?","// init NAME_BALLOT, $2d
Huh?
Why is it so dark here?
What happened?","// init NAME_BALLOT, $2d
Hein?
Pourquoi il fait si sombre ici?
Qu'est-ce qui s'est passé?","// init NAME_BALLOT, $2d
Hah?
Kenapa di sini sangat gelap?
Ada apa?","upon entering state of science","","","","","","",""
"0e","54ce","","// init NAME_BLANK, $1f
唉呀~
怎麼會停電了呢
?
電一停的話，
什麼事情都做不
了!
就連電燈都不亮
了!","// init NAME_BLANK, $1f
How did this happen?
The power has gone out and now nothing can be done!
Not even the lights are coming on!","// init NAME_BLANK, $1f
Ah, qu'est-ce qui s'est passé?
Il n'y a plus de courant, et on ne peut plus rien faire!
Même les lumières ne s'allument plus!","// init NAME_BLANK, $1f
Bagaimana ini?
Listriknya padam dan sekarang tidak ada yang bisa kami lakukan!
Bahkan lampunya saja tidak menyala!","wrong tense lel","","","","","","",""
"0e","5518","","// init NAME_BLANK, $1b
就在不久前，
突然就停電了!
到底是怎麼回事
?
發電塔故障了嗎
?","// init NAME_BLANK, $1b
The power suddenly went out!
What's going on? Is there a problem at the power plant?","// init NAME_BLANK, $1b
Le courant a sauté d'un coup!
Qu'est-ce qui se passe? Y a-t'il un problème à la Centrale?","// init NAME_BLANK, $1b
Listriknya tiba-tiba padam!
Ada apa ya? Ada masalah di gedung pembangkit listrik?","
power plant / generators / power tower
take your pick","","power plant is fine, ""power tower"" is a naive translation","","","","",""
"0e","5555","","// init NAME_BLANK, $16
哎唷唷~
痛死了!
黑漆漆的看不清
楚~
這把老骨頭都快
要撞散了。","// init NAME_BLANK, $16
Ow, it hurts so much...
I can hardly see in the dark, and my bones are old and brittle...","// init NAME_BLANK, $16
Aïe, aïe, aïe...
Il fait si sombre, je ne vois rien...
Mes pauvres vieux os...","// init NAME_BLANK, $16
Aduh, sakit sekali...
Susah saya melihat kalau sedang gelap seperti ini, dan tulangku sudah tua dan rapuh...","machine translation assisted","","","","","","",""
"0e","5592","","// init NAME_BLANK, $19
前陣子來了二個
自稱閃電隊的人
要和我們比賽高
速賽車，
賭金是三千萬。
這對製造高速賽
車的科技城來說
是項污辱!
為了慎重起見，
我們派出了本城
最引以自豪的
機械科學家~
雷歐。
真不敢相信，
居然輸了!
哎呀~
要怎麼籌出三千
萬!","// init NAME_BLANK, $19
A couple of days ago, two people calling themselves Team Volt raced against us, and we lost ¥30 million that day!
I can't believe it! We specialise in high-speed cars here and we even sent Dr. Leo, our best scientist!
How could we have lost?
We don't even have that amount of money!
","// init NAME_BLANK, $19
Il y a quelques jours, une paire se faisant appeler la Team Volt a fait la course contre nous, et on y a laissé 30 millions de ¥!
J'arrive pas à y croire! On est spécialisés dans les voitures de course, et on a même envoyé notre meilleur mécanicien, le Dr. Léo!
Comment est-ce qu'on a pu perdre?
On n'a même pas autant d'argent!","// init NAME_BLANK, $19
Beberapa hari yang lalu, dua orang menyebut mereka Tim Volt adu balap dengan kita, dan kita kehilangan ¥30 juta hari itu!
Aku tak percaya! Kita di sini membuat mobil kecepatan tinggi, bahkan kita mengirim Dr. Leo, ilmuwan terbaik kita!
Bagaimana mungkin kita kalah?
Uang sebesar itu saja kita tidak punya!
","machine translation assisted
what's the team name here?
google says ""Chargers""
deepl says ""Lightning""
docs says ""Zimmers""
which is it? @WHY","","i would personally say ""lightning"" since 閃電","","","also sucks to be them lel they should have built high speed trains :morphon:","based trainist","volt"
"0e","5666","","// init NAME_BLANK, $17
這裡是全世界最
大的製作高速賽
車的城市。
前陣子和二個外
地人比賽，
居然輸了!
還虧我們派出了
最強的機械科學
家~雷歐應戰!
就這樣，
科技城輸了三千
萬!","// init NAME_BLANK, $17
This city has the largest racing car manufacturing line in the world.
However, we lost to two foreigners a while ago!
Even though we sent Dr. Leo to the challenge, we still lost 30 million!","// init NAME_BLANK, $17
Cette ville produit les meilleures voitures de courses du monde.
Mais on a perdu face à deux étrangers il y a quelques jours!
Même en envoyant le Dr. Léo relever ce défi, on y a laissé 30 millions!","// init NAME_BLANK, $17
Kota ini memiliki pabrik mobil balap terbesar di dunia.
Namun, beberapa waktu lalu kita kalah balap dengan dua orang asing!
Meski kita mengirim Dr. Leo, kita tetap kehilangan 30 juta!","","","","","","","",""
"0e","56f4","","// init NAME_BLANK, $1c
衝呀!
我的高速賽車~
長腳龜一號!
只要那些壞人再
來的話，
我就用這個打敗
他們
!","// init NAME_BLANK, $1c
Take a look! My high-speed racing car! Tourtega Mk.I! If those scoundrels come again, I'll beat them with this!","// init NAME_BLANK, $1c
Regarde, regarde! Ma super-voiture de course, Totortue Mk.I! Si ces méchants reviennent, je les battrai avec ça!","// init NAME_BLANK, $1c
Lihatlah! Mobil balapku yang berkecepatan tinggi! Tortega Mk.I! Kalau bajingan-bajingan itu datang lagi, aku kalahkan mereka dengan ini!","long-legged turtle is a bit eh
so time to make up names","","","","","","",""
"0e","5740","","// init NAME_BLANK, $21
嗚~嗚~
好黑峨!
人家好怕啊!
嗚~~嗚~","// init NAME_BLANK, $21
It's so dark! I'm scared! Waah...","// init NAME_BLANK, $21
Il fait tout noir! J'ai peur! Ouin...","// init NAME_BLANK, $21
Gelap sekali! Aku takut! Aaaah...","deepL cannot sufficiently grasp the nuance of ""Wow"" (awe) vs ""Waaah"" (crying)","","","","","","",""
"0e","576d","","// init NAME_BLANK, $1f
很久很久之前~
雷歐的曾祖父，
和其他七名科學
家，
曾經拯救過地球
。
所以城裡的人都
尊敬他。
但這次的賽車比
賽，
雷歐卻輸得很誇
張!
我們會不會太高
估他了?","// init NAME_BLANK, $1f
A long time ago, Leo's great-
grandfather and seven other scientists saved the Earth, so everyone in this city respects him.
But in this race, Leo lost by a huge margin!
Are we over-
estimating him?","// init NAME_BLANK, $1f
Il y a longtemps, l'arrière-
grand-père de Léo a sauvé le monde avec 7 autres scientifiques, alors tout le monde ici le respecte.
Mais lors de la course, Léo s'est fait battre à plate couture!
Est-ce qu'on l'a surestimé?","// init NAME_BLANK, $1f
Dahulu kala, kakek buyut Dr. Leo dan tujuh ilmuwan lainnya menyelamatkan Bumi, jadi semua orang di kota ini menghormatinya.
Tapi dalam balapan kemarin, Leo kalah besar!
Mungkin kami terlalu menghargainya?","","","","","","","",""
"0e","5806","","// init NAME_BLANK, $16
這裡是科技城的
廢鐵集中場。
別看這些破破爛
爛的東西，
這些全是我的寶
貝!","// init NAME_BLANK, $16
This is our scrapyard. They may look like pieces of junk, but to me, they're treasure!","// init NAME_BLANK, $16
Voici le parc à ferrailles de Technoville.
Tout ça ressemble peut-être à des déchets, mais pour moi, c'est de précieux trésors!","// init NAME_BLANK, $16
Ini tempat rongsokan kami. Mungkin bagimu ini sampah, tapi bagiku ini harta!","one mans trash is anothers treasure","","","","","","",""
