"bank","address","label","original_string","translated_string","text_kind","notes",""
"12","7169","","// init $28, $4e
決定了!就是明
天，明天就舉行
董事交接典禮!
妮娜、巴洛特，
你們一定要來參
加!
我替你們準備了
貴賓房，你們就
在此過夜吧!明
天一早，就在大
廳舉行交接典禮
","// init $28, $4e
It's decided! It's tomorrow, the handover of directors will be held tomorrow! Nina, Barrett, you must come to the ceremony! I have prepared a VIP room for you, so you can spend the night here! The handover ceremony will be held in the lobby early tomorrow morning.
","repoint_target","","deepL"
"12","71f8","","// init $01, $2e
謝謝您。
","// init $01, $2e
Thank you.
","repoint_target","","deepL"
"12","7203","","// init $28, $4e
馬克!爺爺還有
好多話要跟你說
!到爺爺的房間
聊聊吧!哈哈~
","// init $28, $4e
Mark! Grandpa has a lot to say to you! The actual fact is that you'll be able to get a lot more than just a few of these. I'm not sure I'm going to be able to do that.
","repoint_target","","deepL"
"12","723c","","// init $00, $12
加爾企業董可長
找到了孫子?
真是替他感到高
興~
","// init $00, $12
The grandson of the director of Gale Enterprises has been found? I'm so happy for him!
","repoint_target","","deepL"
"12","7267","","// init $00, $23
往西邊走的話，
就是鐘塔了。
那是加爾企業董
事長為了紀念去
逝的女兒而建的
那鐘塔已經成為
多魯市的地標了
呢。
我們都是依照鐘
塔上的時間座息
的。
","// init $00, $23
If you go to the west, you will find the clock tower. The clock tower has become a landmark in the city of Doru, built by the chairman of Gale Corporation in memory of his deceased daughter. We all follow the time on the clock tower.
","repoint_target","","deepL"
"12","72ef","","// init $00, $18
真是奇怪!真是
奇怪呀!
到底什麼事奇怪
呢!
我也說不上來⋯
","// init $00, $18
How strange! What a strange thing! What's so strange? I can't tell you...
","repoint_target","","deepL"
"12","7320","","// init $00, $1c
嘻嘻~吃點心吃
得好飽喲!啊!
這⋯這是怎麼回
事?好⋯奇⋯怪
!
","// init $00, $1c
Heehee~ I'm so full from eating snacks! Ah! What's going on here? It's... strange!
","repoint_target","","deepL"
"12","735b","","// init $00, $1c
嘻嘻~
吃得好飽喲!
","// init $00, $1c
Heehee~ I'm so full!
","repoint_target","","deepL"
"12","736f","","// init $00, $1f
加爾企業明天就
要舉行董事交接
典禮!真是期待
","// init $00, $1f
Gale Enterprises will be holding a board transition ceremony tomorrow! I'm really looking forward to it!
","repoint_target","","deepL"
"12","739a","","// init $03, $02
巴洛特~你真的
要去解開那艘太
空船的祕密嗎?
","// init $03, $02
Barrett, are you really going to unlock the secrets of the space ship?
","repoint_target","","deepL"
"12","73c5","","// init $01, $2e
是的。我一直相
信，只要我朝這
個方向著手的話
，總有一天，一
定會再見到爸爸
的。
","// init $01, $2e
Yes. I always believed that as long as I started in this direction, one day, I would definitely see my father again.
","repoint_target","","deepL"
"12","7412","","// init $03, $02
其實，妮娜從很
久前，就偷偷看
過爸爸留下來筆
記。
但是爸爸說，我
們還是適合當個
純僕的農夫。
妮娜還很難過⋯
巴洛特，我好羨
慕你⋯⋯
","// init $03, $02
In fact, Nina had secretly read the notes left by dad from a long time ago. But Dad said we were better off as mere servants and farmers. Nina is still very sad... Barrett, I envy you so much...
","repoint_target","","deepL"
"12","748c","","// init $01, $2e
妮娜⋯⋯
","// init $01, $2e
Nina...
","repoint_target","","deepL"
"12","7497","","// init $03, $02
巴洛特不要露出
這種表情嘛!
我們明天要一起
參加哥哥的交接
典禮唷!
","// init $03, $02
Don't look like that, Barrett! We're going to attend the handover ceremony for my brother tomorrow!
","repoint_target","","deepL"
"12","74d8","","// init $01, $2e
嗯!
","// init $01, $2e
Yeah!
","repoint_target","","deepL"
"12","74df","","// init $03, $33
喲好了唷!
明天見了~
","// init $03, $33
Yo, it's done! See you tomorrow!
","repoint_target","","deepL"
"12","74f8","","// init $01, $2b
爸~你不要走!
不要丟下我一個
人!
","// init $01, $2b
Dad, don't go! Don't leave me alone!
","repoint_target","","deepL"
"12","751b","","// init $11, $11
巴洛特，是時候
了!再不行動的
話，等『那個』
時候到了，就來
不及了。
","// init $11, $11
Barrett, it's time! If you don't move, it will be too late when 'that' time comes.
","repoint_target","","deepL"
"12","755b","","// init $01, $2e
爸~不要丟下我
!
","// init $01, $2e
Dad~ Don't leave me behind!
","repoint_target","","deepL"
"12","756e","","// init $11, $11
⋯⋯⋯
","// init $11, $11
⋯⋯⋯...
","repoint_target","","deepL"
"12","7576","","// init $01, $2e
爸~!!!
為什麼?為什麼
為什麼為什麼為
什麼?為什麼要
丟下我!
","// init $01, $2e
Dad~!!! Why? Why, why, why, why, why? Why did you leave me!
","repoint_target","","deepL"
"12","75b7","","// init $01, $2d
爸!!
","// init $01, $2d
Dad!!!
","repoint_target","","deepL"
"12","75c0","","// init $01, $2e
⋯原來是個夢⋯
","// init $01, $2e
⋯It was a dream...
","repoint_target","","deepL"
"12","75ce","","// init $03, $02
巴洛特也起床了
嗎?
一起到哥哥的交
接典禮吧!
","// init $03, $02
Is Barrett up too? Let's go to your brother's handover ceremony!
","repoint_target","","deepL"
"12","75f9","","// init $01, $2e
奇怪?典禮不是
今天舉行嗎?
怎麼一點都沒有
舉行的跡像?
這是怎麼回事?
","// init $01, $2e
Strange? Isn't the ceremony today? Why is there no sign of it happening? What's going on here?
","repoint_target","","deepL"
"12","763c","","// init $1b, $4c
是巴洛特啊!
什麼?
交接典禮?
還早啊!你看看
時間，天都還沒
暗呢!呵呵呵~
巴洛特真是熱心
啊。
","// init $1b, $4c
It's Baloth! What? The handover ceremony? It's still early! Look at the time, it's not even dark yet! Oh well, Barot is really enthusiastic.
","repoint_target","","deepL"
"12","7696","","// init $01, $2e
這是怎麼回事?
明明睡了一覺，
現在不是『明天
』嗎?
這到底是怎麼回
事?
","// init $01, $2e
What's going on here? I slept, but now it's not 'tomorrow'? What the hell is going on here?
","repoint_target","","deepL"
"12","76dc","","// init $00, $18
真是奇怪!真是
奇怪呀!
我終於發現奇怪
在哪裡了!
鐘塔上的時間，
似乎動都不動!
是鐘塔出了問題
嗎?
會是我的錯覺嗎
?
","// init $00, $18
This is weird! That's weird! I finally found out what's weird! The time on the clock tower doesn't seem to be moving! Is there something wrong with the clock tower? Could it be my illusion?
","repoint_target","","deepL"
"12","7746","","// init $00, $1c
好⋯奇⋯怪!
我才剛吃完點心
，怎麼還是3點
呢?人家好飽⋯
不要吃了啦!
","// init $00, $1c
That's odd! I just finished my snack, why is it still 3:00? I'm so full... don't eat anymore!
","repoint_target","","deepL"
"12","7787","","// init $00, $24
好⋯好恐佈!
鐘塔的擺動停了
，在修理的途中
，聽到了怪聲音
⋯原來是⋯恐怖
的東西⋯
怎⋯怎麼辦⋯
我不敢進去⋯
","// init $00, $24
What a horror! The clock tower stopped swinging, and on the way to repair it, I heard strange noises... and it turned out to be... something scary... what... I didn't dare to go in...
","repoint_target","","deepL"
"12","77ea","","// init $29, $52
嘀嘀~答答~滴
答~
","// init $29, $52
Tick, tick, tick, tick, tick
","repoint_target","","deepL"
"12","77ff","","// init $01, $2e
原來是星獸搞的
鬼!牠讓鐘塔的
時間停止了，所
以永遠是白天!
如果沒有打倒牠
的話，馬克的
交接典禮，就永
遠無法舉行了!
","// init $01, $2e
It's the Star Beast's fault! It stopped the clock tower's time, so it's always daytime! If it is not defeated, Mark's handover ceremony will never be held!
","repoint_target","","deepL"
"12","7870","","// init $29, $52
嘀嘀~答答~滴
答~
","// init $29, $52
Tic-Tac~Answer~Tick~
","repoint_target","","deepL"
"12","7885","","// init $00, $18
真是奇怪!真是
奇怪呀!
鐘塔的時間又動
了!
看來是我的錯覺
。
","// init $00, $18
That's weird! What a strange thing! The clock tower's time has moved again! It seems to be my mistake.
","repoint_target","","deepL"
"12","78bd","","// init $1b, $4c
真是累人呀~
還是白天，為什
麼我覺得這麼累
呢?
是我的錯覺嗎?
總覺得今天特別
的漫長。
巴洛特，快去房
間休息吧!
明天要準時參加
交接典禮唷!
","// init $1b, $4c
It's really tiring~ It's still daytime, why do I feel so tired? Is it just me? I feel like it's been a particularly long day. Barrett, go to your room and get some rest! Tomorrow we have to be on time for the handover ceremony!","repoint_target","","deepL"
"12","7945","","// init $03, $02
巴洛特，明天也
要一起參加哥哥
的交接典禮唷!
","// init $03, $02
Barrett, you have to join your brother's handover ceremony tomorrow!
","repoint_target","","deepL"
"12","7970","","// init $01, $2e
嗯。
","// init $01, $2e
Hmm.
","repoint_target","","deepL"
"12","7977","","// init $03, $02
巴洛特參加完交
接典禮後，就要
離開了嗎?
","// init $03, $02
Is Barrett leaving after the handover ceremony?
","repoint_target","","deepL"
"12","799d","","// init $01, $2e
是的。
為了尋找爸爸及
動力晶片，我必
須要走了。
","// init $01, $2e
Yes. I have to go in order to find my dad and the power chip.
","repoint_target","","deepL"
"12","79cc","","// init $03, $02
⋯⋯⋯
那麼⋯我們就⋯
明天見囉!
","// init $03, $02
⋯⋯⋯Well... then... we'll see you tomorrow!
","repoint_target","","deepL"
"12","7a96","","// init $25, $4f
巴洛特，你要走
了嗎?
","// init $25, $4f
Barrett, are you leaving?
","repoint_target","","deepL"
"12","7aac","","// init $01, $2e
是的。
必須要動身，尋
找其他的動力晶
片。
","// init $01, $2e
Yes. Must move and find another power chip.
","repoint_target","","deepL"
"12","7ad7","","// init $28, $4e
動力晶片?
唉~實在是不想
要說出來⋯
但巴洛特算是我
的大恩人⋯⋯
加爾企業的對手
~邦林企業
，它的總裁手中
握中其中之一的
晶片。
因為他的祖先，
也曾是偉大的八
大科學家之一。
","// init $28, $4e
A power chip? I hate to say it... but Barot is a great benefactor of mine... a rival of Gale Corporation, Bonlin Corporation, whose president holds one of the chips. Because his ancestor was also one of the great eight scientists.
","repoint_target","","deepL"
"12","7b78","","// init $01, $2e
邦林企業?
","// init $01, $2e
Bonlin Enterprises?
","repoint_target","","deepL"
"12","7b83","","// init $28, $4e
是的。
位於
天
之
都裡
的邦林企業。
是本公司最大的
商業對手。
","// init $28, $4e
Yes. The company is located in the city of Tenjin. It is our biggest business rival.
","repoint_target","","deepL"
"12","7bbb","","// init $01, $2e
但是多魯市，並
沒有對外連結的
道路啊!
","// init $01, $2e
But there are no external links to Doru City!
","repoint_target","","deepL"
"12","7be4","","// init $28, $4e
呵呵呵~
這個一點都不是
個難題。
加爾企業是個世
界聞名的跨國企
業。
對於這種小事，
是必須要克服的
。這個給你!
","// init $28, $4e
This is not a problem at all. Gale Enterprises is a world-renowned multinational corporation. For such a small thing, it is necessary to overcome. Here you go!
","repoint_target","","deepL"
"12","7c4b","","// init $01, $2a
得到金鑰匙!
","// init $01, $2a
Get the golden key!
","repoint_target","","deepL"
"12","7c5a","","// init $28, $4e
鐘塔內有扇密閉
的鐵門，就是通
往達瑪之都
的通道。
這就是加爾企業
對外流通的祕密
","// init $28, $4e
Inside the Clock Tower, there is a closed iron door that leads to the capital of Dama. This is the secret of the Gale Enterprise to the outside world
","repoint_target","","deepL"
"12","7ca6","","// init $01, $2e
謝謝你~董事長
!
","// init $01, $2e
Thank you, Chairman!
","repoint_target","","deepL"
"12","7cb9","","// init $28, $4e
我也要感謝你~
巴洛特!
祝你任務順利!
","// init $28, $4e
I want to thank you too ~ Barrett! Good luck with your mission!
","repoint_target","","deepL"
"12","7cdd","","// init $03, $02
巴洛特⋯⋯⋯
⋯⋯⋯
","// init $03, $02
Baloth ⋯⋯⋯⋯⋯⋯
","repoint_target","","deepL"
"12","7cf0","","// init $02, $02
巴洛特~等一等
!
","// init $02, $02
Balot ~ wait!
","repoint_target","","deepL"
"12","7d04","","// init $01, $2e
妮娜?
","// init $01, $2e
Nina?
","repoint_target","","deepL"
"12","7d0e","","// init $03, $02
我⋯我想了很久
⋯⋯
哥哥已經成為加
爾企業的董事了
⋯妮娜也可以放
心了⋯妮娜⋯
要和巴洛特一起
解開古代太空船
的祕密!
","// init $03, $02
I've been thinking about it for a long time... my brother has become a director of Gale Enterprises... and Nina can rest easy... Nina... is going to work with Baloth to unlock the secrets of the ancient spacecraft!
","repoint_target","","deepL"
"12","7d79","","// init $28, $4e
妮⋯妮娜!
那怎麼可以!
","// init $28, $4e
Nina... Nina! How can that be!
","repoint_target","","deepL"
"12","7d90","","// init $25, $4f
妮娜~從很久
之前，妳就對
爸爸留下來的
研究，充滿了
興趣。
尋找妳的興趣
吧，哥哥也贊
成妳去!
","// init $25, $4f
Nina~ Since a long time ago, you've been interested in the research your father left behind. Find your interest, and brother agrees with you!
","repoint_target","","deepL"
"12","7de7","","// init $28, $4e
馬⋯馬克!
","// init $28, $4e
Ma...Mark!
","repoint_target","","deepL"
"12","7df5","","// init $03, $02
巴洛特⋯⋯
","// init $03, $02
Barot...
","repoint_target","","deepL"
"12","7e02","","// init $01, $2e
這⋯⋯好!
大家出發吧!
","// init $01, $2e
That's... good! Let's go, everyone!
","repoint_target","","deepL"
"12","7e1a","","// init $03, $02
巴洛特，謝謝
你!
","// init $03, $02
Barrett, thank you!
","repoint_target","","deepL"
"12","7e2d","","// init $28, $4e
用金鑰匙打開鐘
塔關閉的鐵門。
就可以通到達瑪
之都了。
祝你任務順利。
","// init $28, $4e
Use the golden key to open the iron door of the closed clock tower. You will be able to get to the capital of Darma. Good luck with your mission.
","repoint_target","","deepL"
"12","7e6d","","// init $25, $4f
巴洛特!
要好好的照顧妮
娜。
要是你欺負她的
話，我可是不會
放過你!
","// init $25, $4f
Ballot!
Take good care of Nina.
Otherwise, I won't let you off the hook!
","repoint_target","eh, alright",""
"12","41f1","","// init $00, $1a
嗯，找死!","// init $00, $1a
Well, looking for death!","repoint_target","deepL","needs relocation"
"12","7ebe","","// init $14, $25
需要妮可治療嗎?","// init $14, $25
Do you need Nicole's treatment?","repoint_target","deepL",""
"12","7ed6","","// init $1a, $25
這裡是星獸膠囊
存放銀行。
需要艾娜的服務
嗎?","// init $1a, $25
This is the Star Animal Capsule Storage Bank.
Do you need Ina's services?","repoint_target","deepL",""
"12","7f05","","// init $19, $22
需要什麼服務嗎?","// init $19, $22
Do you need any services?","repoint_target","deepL",""
"12","7eac","","嗨OHBABY
嗨NO","","repoint_target","???",""
"12","5194","","// init $00, $15
這裡是多魯市。
","// init $00, $15
Welcome to Dorington, home of the world-famous Gale Enterprises.","repoint_target","",""
"12","51a6","","// init $00, $21
看到那棟最高的
建築了嗎?
那就是鼎鼎大名
的加爾企業唷!
","// init $00, $21
Do you see that tall tower over there? That building is the headquarters of the famous Gale Enterprises!","repoint_target","",""
"12","51d9","","// init $00, $12
看過告示版了嗎
?真是可憐啊~
加爾企業的董事
長正在尋找十六
年前失散的孫子
呢。
","// init $00, $12
Do you see that noticeboard? How sad.. Gale Enterprises' chairman is still trying to find his grandchild, who vanished 16 years ago.","repoint_target","grandson? or granddaughter?",""
"12","5223","","// init $00, $23
往西邊走的話，
就是鐘塔了。
那是加爾企業董
事長為了紀念去
逝的女兒而建的
那鐘塔已經成為
多魯市的地標了
呢。我們都是依
照鐘塔上的時間
作息的。
","// init $00, $23
If you go west, you'll see the Clock Tower. The chairman of Gale Enterprises erected it as a memorial to his deceased daughter. It's become a landmark of Dorington, and we all set our watches according to the time on the Clock Tower.","repoint_target","",""
"12","52aa","","// init $00, $18
加爾企業董事長
失散的孫子，身
上掛著一條會發
光的月型項鍊，
名叫月琉璃。要
是被我找到的話
，我就發財了。
","// init $00, $18
The grandson of Gale Enterprises' chairman was said to have worn a glowing chain in the shape of the moon, known as the Moonglass. I'm sure it's worth a fortune! If I find it, I'll be rich!","repoint_target","",""
"12","530c","","// init $00, $1c
峨~鐘塔的時間
已經3點了!
嘻嘻~點心時間
到了!
","// init $00, $1c
The time on the clock tower is 3pm! Hehe, it's teatime!","repoint_target","",""
"12","5338","","// init $00, $1f
唉呀~真是不得
了!
只要能找到加爾
企業董事長的孫
子，就能獲得一
~大筆錢!
我一定要搶在別
人前面找到!
","// init $00, $1f
Aiyeee!! This is serious! If I find the chairman's grandson before anyone else, I'll get a lot of money! I must find him before anyone else does!","repoint_target","",""
"12","5396","","// init $00, $16
想知道嗎?","// init $00, $16
Do you want to know something?","repoint_target","",""
"12","53a4","","// init $00, $16
是這樣子的啊~
","// init $00, $16
It's like this..","repoint_target","",""
"12","53b6","","// init $00, $16
十六年前，加爾
企業董事長~
哈爾遜的女兒，
與一名牧羊人發
生了戀情。
董事長非常的憤
怒，覺得牧羊人
高攀不上他的女
兒。
於是拆散了二人
，並把剛出世的
小嬰兒送走。
之後，董事長的
女兒便鬱鬱而終
","// init $00, $16
16 years ago, the daughter of Harrison, Gale Enterprises' chairman, had a relationship with a shepherd. The chairman was furious as he felt that the shepherd was not worthy of his daughter, so he forced them to break up and had the child sent away. The chairman's daughter died of depression shortly after.","repoint_target","",""
"12","546f","","// init $00, $19
往南邊走，就會
到達山達農莊。
那裡是個純樸的
小鎮，主要出産
咖啡跟天使之葉
。
","// init $00, $19
If you go south, you will arrive at Mountreach Farm. It is a simple town that produces mainly coffee and angel leaves.","repoint_target","what is the farm called aaaaaaa","deepL"
"12","54b8","","// init $00, $16
唉~其實加爾企
業董事長的心情
，我真的可以體
會⋯⋯
年老時才發現，
沒有人可以繼承
他那龐大的事業
，那是相當令人
不甘心的。
","// init $00, $16
In fact, I really empathise with the chairman of GaleCorp... it is quite disheartening to find out that there is no one to inherit his huge business in old age. ","repoint_target","",""
"12","5528","","// init $00, $19
哼!那個加爾企
業的董事長，一
點都不可憐呢!
當初他要是沒有
拆散那對戀人的
話，就不會有這
種結果了!
","// init $00, $19
Hmph! I don't pity the chairman at all! If he hadn't broken up the couple in the first place, they wouldn't have ended up like this! ","repoint_target","",""
"12","5589","","// init $00, $1b
十六年前，哈爾
遜董事長的女兒
，愛上了一名男
人!那名牧羊人
，就是山達農莊
的牧羊人。
事後那名牧羊人
被趕出這裡，再
也沒有人看過他
了⋯⋯
","// init $00, $1b
Sixteen years ago, Chairman Harrison's daughter fell in love with a man! He was a shepherd at Mountreach Farm. The shepherd was later chased out of here and never seen again...","repoint_target","",""
"12","560d","","// init $00, $1a
你⋯你後面那隻
⋯怪獸⋯
就是爸爸說的星
獸嗎?
真可怕!!
","// init $00, $1a
That... monster behind you... is that one of the Star Beasts Dad was talking about? It's scary! ","repoint_target","",""
"12","563e","","// init $00, $1c
點心!點心!
媽媽~點心時間
到了啦!哥哥沒
有回來，人家要
吃~雙倍喲!
","// init $00, $1c
Dim Sum! Dim Sum! Mom, it's teatime! Brother hasn't come back, so I want to eat ~ two portions, yo!","repoint_target","",""
"12","5682","","// init $00, $1a
人家才沒有偷吃
櫃子裡的蛋糕唷
!⋯嗚~
被你知道了!人
家不是故意的嘛
!不可以跟哥哥
說唷!
這是我們的小密
祕唷!
","// init $00, $1a
I didn't steal the cake from the cupboard! ⋯You've found me out?! I didn't do it on purpose! Don't tell my brother! It's our little secret! ","repoint_target","",""
"12","56ec","","// init $00, $15
我的老公是鐘塔
的管理人員。
每天都要忙到晚
才能回來。
真是叫人寂寞啊
⋯⋯
","// init $00, $15
My husband is the manager of the clock tower. He has to work late every day. How sad...
","repoint_target","",""
"12","5733","","// init $00, $22
唉~有機會的話
，真想到鄰國做
生意。但是本國
和鄰國的關係，
一直不是很好。
就連來往的通道
都被填平了⋯
唉~~
","// init $00, $22
Haiz... I really want to do business overseas. But the relationship between our country and the neighboring countries isn't very good. Even the road has been blocked... Haiz~
","repoint_target","",""
"12","579d","","// init $1b, $4c
巴洛特，是你呀
。上次提到的動
力晶片，果然董
事長身上也有。
本來應該要為你
引見的，但現在
恐怕不行了⋯
","// init $1b, $4c
Ballot, it's you. The power chip that I mentioned last time is really held by the chairman. I was supposed to introduce you, but I'm afraid I can't do that now...
","repoint_target","",""
"12","57fa","","// init $01, $2d
發生了什麼事嗎
?
","// init $01, $2d
Is something wrong?
","repoint_target","",""
"12","580d","","// init $1b, $4c
是這樣的。十六
年前，董事長千
金與一名牧羊人
發生戀情，並有
了一名小孩。
董事長相當憤怒
，拆散了二人，
並且把小孩子托
管家送走。
但董事長年紀大
了，後繼無人，
便想找回失散的
小孫子。
但當年送走小孩
子的管家已經去
逝，沒有人知道
他的下落了⋯
","// init $1b, $4c
Here's the story. Sixteen years ago, the president's daughter fell in love with a shepherd and had a child. The chairman was furious, so he broke up the couple and sent the child away to a trustee. Now that he's old and has no one to take after him, he wants to find his lost grandson. But the housekeeper who sent the child away has passed away, so no one knows where he is anymore.
","repoint_target","",""
"12","58ef","","// init $01, $2b
這真是遺憾⋯
","// init $01, $2b
What a shame...
","repoint_target","",""
"12","58fd","","// init $1b, $4c
董事長的身體為
了這件事情，而
操勞過度!
現正休養中，不
方便接見客人。
關於動力晶片的
事情~如果巴洛
特可以找到失散
的小孫子的話，
或許可以向董事
長要求動力晶片
吧。
","// init $1b, $4c
The Chairman overworked himself for this! He is now recuperating and is not available to receive guests. About the power chip ~ if you can find his lost grandson, maybe he can ask the chairman for the power chip.
","repoint_target","",""
"12","599a","","// init $1b, $4c
槽糕~都這麼晚
了呀!
身為加爾企業採
購部經理的我，
必須要趕上這場
重要的會議才行
!巴洛特，詳細
的細節，你可以
看看加爾企業前
的告示版。
上頭有著尋人
的線索。
加油了!
","// init $1b, $4c
Oh dear, look at the time! I have to catch an important meeting as the manager of the purchasing department of GaleCorp! Ballot, for more details, you can read the notice in front of the GaleCorp building.
You can find more details there. Good luck!
","repoint_target","",""
"12","5a30","","// init $00, $00
加爾企業公告:
加爾企業尋人啟
示
尋找哈爾遜董事
長十六年前失散
的小孫子身上佩
戴著一條弦月型
、發出幽光的項
鍊名為月琉璃。
如尋獲者，加爾
企業將重金禮謝
","// init $00, $00
GaleCorp Notice: GaleCorp is looking for the grandson of Chairman Harrison who was lost 16 years ago wearing a moon-shaped, glowing necklace known as the Moon Glaze. GaleCorp will provide a reward for anyone who finds him.
","repoint_target","",""
"12","5abd","","// init $01, $2e
這就是基多所說
的線索?
月型項鍊?
月琉璃這就是基
多所說的線索?
只要找到月琉璃
的主人，就可以
得到動力晶片了
!
","// init $01, $2e
This is the clue that Quito was talking about? The moon necklace? This is the clue that Kido was talking about? If you find the owner of the moon glaze, you can get the power chip!
","repoint_target","","deepL"
"12","5b24","","// init $00, $24
這個鐘塔是加爾
企業的所有物。
不可以再進去了
喲。尤其是旁邊
那個門!
那可以⋯⋯
總之不能靠近
就是了!
","// init $00, $24
This clock tower is owned by GaleCorp. Entry is prohibited. Especially to the side door! You could... Anyway, you can't go near it!
","repoint_target","","deepL"
"12","5b82","","// init $00, $17
這裡是牧羊的農
莊小鎮~
山達農莊。
","// init $00, $17
This is the farming town of Shepherd's Bush ~ Shanda Farm.
","repoint_target","","deepL"
"12","5ba7","","// init $00, $20
興奮~哈哈哈~
興奮~哈哈哈~
天氣真好~
興~興奮~
","// init $00, $20
Excited ~ Hahahaha ~ Excited ~ Hahahaha ~ Beautiful weather ~ Excited ~ Excited ~ Excited ~
","repoint_target","","deepL"
"12","5bd5","","// init $00, $12
真是可怕⋯前陣
子的流星雨，擊
中西邊的咖啡林
裡的咖啡樹。
因此變成了咖啡
星怪!咖啡怪有
時會飄來一陣咖
啡的香氣~
聞到的人都會變
得異常的興奮。
","// init $00, $12
What a terrible... meteor shower a while ago, hit the coffee trees in the coffee forest in the west. So it turned into a coffee monster! The coffee monster sometimes floats a burst of coffee aroma ~ smelling people will become unusually excited.
","repoint_target","","deepL"
"12","5c51","","// init $00, $1d
聽說加爾企業啊
哈哈⋯就是那個
哈哈哈⋯嗚~
一想到就~嗚~
好‧興‧奮!
","// init $00, $1d
I heard that the Gar enterprise ahhaha... is that hahaha... wow ~ the thought of it ~ wow ~ so excited!
","repoint_target","","deepL"
"12","5c92","","// init $00, $21
每次只要一聞到
咖啡的味道，我
就會趕把鼻子捏
起來，有一次還
差點就殺死自己
了⋯
加爾企業的董事
長重金尋找他失
散的孫子。
我一定要找到
才行!
","// init $00, $21
Every time I smelled coffee, I would pinch my nose, and once I almost killed myself... The chairman of Garr Enterprises is paying a lot of money to find his long-lost grandson. I had to find him!
","repoint_target","","deepL"
"12","5d14","","// init $00, $19
嗚峨峨峨!
這⋯這是什麼?
一股力量從我這
八十歲的腳底，
蔓延到我這八十
歲的身體!!
嗚峨峨峨峨峨!
我是~女超人嗎
?
","// init $00, $19
Oooooooh! What... what is this? A power spreads from the bottom of my 80-year-old feet to my 80-year-old body! Awwwwwwwwwwwwww! Am I superwoman?
","repoint_target","","deepL"
