"bank","address","label","original_string","translated_string","notes","notes2","text_kind"
"0e","7283","","// init NAME_1C, $29
有了發條老鼠，
應該就可以引開
發電塔的貓怪了
吧。
哎呀~
想到就覺得丟臉
⋯⋯","// init NAME_1C, $29
With the clockwork rat, you should be able to distract that monster cat. Ah, I feel embarrassed just thinking about it...","","","repoint_target"
"0e","72ce","","// init NAME_21, $31
喵嗚~喵~
嗚嗚~","// init NAME_21, $31
Miao~ Miao~","","","repoint_target"
"0e","72e2","","// init NAME_BALLOT, $00
乖貓咪~
快點走開唷~","// init NAME_BALLOT, $00
Good kitty! Just hurry up, and leave..","","","repoint_target"
"0e","72fa","","// init NAME_BALLOT, $2d
啊!
發條的動力用完
了⋯","// init NAME_BALLOT, $2d
Ah! The spring's unwound!","","","repoint_target"
"0e","7316","","// init NAME_21, $31
嗚~喵吼喵吼吼
!
(可惡!)
(上當了)","// init NAME_21, $31
Miao~ Miao!!!
(Damn it! I've been tricked!)","boss battle?!","","repoint_target"
"0e","733f","","// init NAME_23, $17
嗚峨嗚~嗚~","// init NAME_23, $17
Waaah...","","","repoint_target"
"0e","734f","","// init NAME_BALLOT, $00
大权?怎麼了?","// init NAME_BALLOT, $00
Eh? What's happened to you?","","","repoint_target"
"0e","735f","","// init NAME_23, $17
真是感謝。
科技城停電後，
我就趕來詢視情
況。
沒想到被閃電隊
給綁了起來!
真是感謝你!","// init NAME_23, $17
Oh, thank you! After the outage in the State of Science, I rushed over to investigate the cause.
I didn't expect that I would be tied up by Team Volt!
Thank you for rescuing me!","","","repoint_target"
"0e","73b0","","// init NAME_1E, $27
峨~呵呵呵!
有了三千萬，
我們的夢想就⋯","// init NAME_1E, $27
Eheheheh~!
With these 30 million yen, our dream can finally...","","","repoint_target"
"0e","73d4","","// init NAME_1F, $28
跟在下想的，
一點都沒錯。
這樣一來⋯⋯","// init NAME_1F, $28
Just so! Now we can....","","","repoint_target"
"0e","73f9","","// init NAME_1E, $27
你你⋯你⋯你
⋯你怎麼來的?","// init NAME_1E, $27
Y-y-yo-you?!
How did you get here?!","","","repoint_target"
"0e","740e","","// init NAME_1F, $28
可惡!
你是來破壞在下
的夢想的嗎?
就讓你們來點愛
的教育吧!","// init NAME_1F, $28
You- Are you here to ruin our dreams again? I think it's time to teach you a lesson!","cyrus voice intensifies","","repoint_target"
"0e","744b","","// init NAME_1E, $27
可可⋯可
⋯可惡!
你⋯你你⋯們給
我⋯記⋯記住!","// init NAME_1E, $27
Y-you! You'd better remember this!","","","repoint_target"
"0e","7478","","// init NAME_1F, $28
這次在下就放了
你!
要記住在下的恩
惠!
在下是代表了~
愛、正義、勇氣
的閃電隊!","// init NAME_1F, $28
We'll let you go this time!
You'd better remember this mercy!
Truth, justice and courage: Team Volt, out!","","","repoint_target"
"0e","74c4","","// init NAME_BALLOT, $00
真是⋯⋯⋯","// init NAME_BALLOT, $00
These guys...","","","repoint_target"
"0e","74cf","","// init NAME_BALLOT, $00
這個開關是⋯⋯","// init NAME_BALLOT, $00
If I flip this...","","","repoint_target"
"0e","74de","","// init NAME_BLANK, $1f
啊!
電力又回復了?
第一次覺得，
光明是這麼的幸
福。","// init NAME_BLANK, $1f
Ah! The power is back?
I've never been this glad to see the light.","","","repoint_target"
"0e","7511","","// init NAME_BLANK, $1b
原來電力塔早就
被閃電隊佔領了
這次能回復電力
，
真是感謝你及雷
歐。","// init NAME_BLANK, $1b
Apparently the power went out because of Team Volt.
Thank you, Ballot, for bringing it back!","","","repoint_target"
"0e","7550","","// init NAME_BLANK, $16
好⋯好刺眼⋯⋯
眼晴好不容易習
慣了黑暗，
對於這麼亮的燈
光，
真有點吃不消⋯","// init NAME_BLANK, $16
It-It's blinding...
My eyes had just gotten used to the dark, and suddenly the blinding lights came back on...","","","repoint_target"
"0e","7597","","// init NAME_BLANK, $19
果然需要雷歐出
馬，
才能打敗閃電隊
。
雷歐博士是最棒
的機械發明家。","// init NAME_BLANK, $19
In the end, Team Volt was only defeated with Dr. Leo's assistance.
He certainly is the best inventor in the world.","","","repoint_target"
"0e","75d8","","// init NAME_BLANK, $17
你聽過加爾企業
嗎?
那可是二大知名
企業之一啊!
加爾企業及邦林
企業，
都是數一數二的
大企業喲。","// init NAME_BLANK, $17
Have you heard of Gale Enterprises?
It's one of the biggest companies in the world, second only to Bang Lin!","Gale is back, babyy, and so is Bang Lin","","repoint_target"
"0e","762c","","// init NAME_BLANK, $21
嗚~嗚~
電燈又亮了，
人家又要上學了
!
嗚~~嗚~","// init NAME_BLANK, $21
Waaah!
The lights are back on, so we have to go to school!
Waaah!","","","repoint_target"
"0e","765d","","// init NAME_BLANK, $16
這裡是科技城的
廢鐵集中場。
別看這些破破爛
爛的東西，
這些全是我的寶
貝!","// init NAME_BLANK, $16
This is the scrapyard of Tech City. They may look like pieces of junk, but to me, they're treasure!","from 0e5806","","repoint_target"
"0e","76a3","","// init NAME_BLANK, $12
前陣子的流星雨
，
打壞了通往多魯
市的道路。
這該怎麼辦呢?","// init NAME_BLANK, $12
That meteor shower earlier wrecked most of the roads from here to Dorington!
What shall I do?","Dorington makes the much anticipated return","","repoint_target"
"0e","76dc","","// init NAME_BLANK, $16
就是你救了博特
嗎?
實在是非常的感
謝!
這個就送給你了
，
真是相當的感謝
。","// init NAME_BLANK, $16
You were the one who saved Burt?
Thank you! Please take this as a token of my gratitude!","","","repoint_target"
"0e","7723","","// init NAME_BLANK, $16
真是相當的感謝
。","// init NAME_BLANK, $16
I can't stress how grateful I am!","","","repoint_target"
"0e","7736","","// init NAME_23, $17
非常的感謝您。","// init NAME_23, $17
Thank you very much for the rescue.","","","repoint_target"
"0e","7746","","// init NAME_19, $22
電力又回復了，
一大堆帳要補登
記⋯
忙死了⋯⋯
需要什麼服務嗎
?","// init NAME_19, $22
The electricity is back, so I have a pile of documents to work on..
I'm very busy, so is there anything you need?","","","repoint_target"
"0e","7781","","// init NAME_1B, $4c
博士終於做好了
反重力裝置了!
身為加爾企業採
購部經理的我，
終於可以回去參
加重要的會議了","// init NAME_1B, $4c
Dr. Leo finally finished his anti-gravity device! As the manager of the procurement department of GaleCorp, I can finally return for my important meeting!","","","repoint_target"
"0e","77d3","","// init NAME_1C, $29
啊啊啊啊啊!!
巴洛特啊!
你來的剛剛好!
了不起的大發現
!","// init NAME_1C, $29
AAAAAAAHHH!!
Ballot! You're right on time!
There's been a major breakthrough!","","","repoint_target"
"0e","7809","","// init NAME_BALLOT, $00
了不起的發現?","// init NAME_BALLOT, $00
A major breakthrough?","","","repoint_target"
"0e","781b","","// init NAME_1C, $29
我看了你的設計
圖，
這可是不得了的
東西喲!
這可是一台超越
想像的太空船!
太‧空‧船‧峨
!
你為什麼會有這
張設計圖?","// init NAME_1C, $29
I took a look at those blueprints you gave me, and they're truly wonderful!
These blueprints are for a giant spaceship!
Where could you have gotten these?","","","repoint_target"
"0e","788a","","// init NAME_BALLOT, $2b
這是爸爸唯一留
下的東西⋯⋯
我一直在想，
如照著爸爸的
目標走，
一定可以相遇的
。","// init NAME_BALLOT, $2b
This is the only thing my father left behind..
I hoped that by following in his footsteps, I'd figure out where he went.","","","repoint_target"
"0e","78d6","","// init NAME_1C, $29
是這樣啊!
⋯⋯⋯⋯這是什
麼?
設計圖的『核』
，
怎麼有八個空白
的部份?
⋯⋯⋯
慢著⋯或許⋯⋯","// init NAME_1C, $29
Oh, I see...
Wait, what's this?
In the blueprints for the Core, there are 8 missing pieces...
Unless...","","","repoint_target"
"0e","792c","","// init NAME_1C, $29
就是這個!
『動力晶片』!
這是核心
的
一部份!
就我所知，
這晶片共有八
個，
分別由八個科學
家保管。
喂喂~巴洛特!
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片，
好嗎?","// init NAME_1C, $29
I've got it!
These sections correspond to the power circuits, which are the most important piece of the core!
As far as I can gather, those chips should be in the possession of 8 scientists, and I have one of them.
Ballot!
You want to find your father, don't you? How about we make a deal?
I'll finish the hull of the spaceship, while you go and hunt down the other 7 chips so that we can make this thing fly.
How about that?","thank you dr. leo, very cool","","repoint_target"
"0e","7a00","","// init NAME_BALLOT, $2d
動力晶片?
爸爸一定也想解
開這個謎團。
好的!
雷歐博士~
我答應你。","// init NAME_BALLOT, $2d
Power circuits?
Dad must have been trying to solve the mystery of these little things.
Alright!
Dr. Leo, it's a deal!","","","repoint_target"
"0e","7a3f","","// init NAME_1B, $4c
這個晶片?
我好像在董事長
那裡，
看過類似的東西
。
但董事長發生了
一件令人難過的
事情⋯
一言難盡⋯⋯
巴洛特要是來到
加爾企業，
我再幫你引見董
事長。
各位，再見了。","// init NAME_1B, $4c
These circuits?
I think I remember seeing something like that with the chairman once, but since then, something unfortunate happened...
Ballot, if you come over to GaleCorp, I'll help you make an appointment with the chairman.
I've got to go now, see you!","","","repoint_target"
"0e","7ad8","","// init NAME_1C, $29
你不是想找到你
爸爸嗎?
我們就來做個分
工:
我負責完成圖上
的太空船機體。
你就負責尋找，
乘下的七個動力
晶片。","// init NAME_1C, $29
You want to find your father, don't you?
I'll finish the hull of the spaceship, so go and hunt down the other 7 chips so that we can make this thing fly.","","","repoint_target"
"0e","7b3a","","// init NAME_1C, $29
巴洛特~
慢著慢著!
先不要急著走。
這個給你!
這是晶片追蹤器
及傳送PDA。
有了它，就可以
知道，
乘餘晶片的所在
位置了!
PDA則是方便
你~
將得到的晶片，
傳輸給我。","// init NAME_1C, $29
Ballot, hold on! Don't leave in such a hurry.
This is for you!
It's a tracker to help you find the circuits, along with a PDA.
With this, you can find out where all the chips are!
The PDA will be convenient as well: you can use it to send the diagrams you find to me.","","","repoint_target"
"0e","7bcb","","// init NAME_BALLOT, $2a
得到了追蹤器!","// init NAME_BALLOT, $2a
Got the Chip Tracker!","","","repoint_target"
"0e","7bda","","// init NAME_BALLOT, $2a
得到了PDA!","// init NAME_BALLOT, $2a
Got the PDA!","","","repoint_target"
"0e","7be9","","// init NAME_1C, $29
巴克~
你也跟著巴洛特
吧!
多個人，也好彼
此照應。","// init NAME_1C, $29
Buck, why don't you go with Ballot?
With more people in the party, it'll be safer for him to travel.","","","repoint_target"
"0e","7c1d","","// init NAME_BUCK, $01
博士‧巴克‧
巴克⋯","// init NAME_BUCK, $01
Doctor... Buck.... Buck...","","","repoint_target"
"0e","7c32","","// init NAME_1C, $29
我知道你在想什
麼!
等你回來~
我一定想辦法將
你變得像個人類
好嗎?","// init NAME_1C, $29
I know what you're thinking!
Once you return safely, I'll figure out something to make you more humanlike!
How about that?","","","repoint_target"
"0e","7c75","","// init NAME_BUCK, $01
博士‧真的?","// init NAME_BUCK, $01
Doctor.. Really?","","","repoint_target"
"0e","7c82","","// init NAME_1C, $29
就這樣改一改⋯
就是這裡⋯
⋯⋯⋯
OK!
改造完畢!
巴克的新式機械
鳥，
將可搭載巴克，
飛過小型的凹地
!","// init NAME_1C, $29
Just tweak this, and solder that...
OK! The modifications are complete!
Buck, this brand new robot bird is for you!
I've named it Beattro, and it can carry you across small bumps in the road!","","","repoint_target"
"0e","7ce9","","// init NAME_BALLOT, $2a
巴克&機械鳥
加入隊伍!","// init NAME_BALLOT, $2a
Buck and Beattro joined the party!","hmm, shouldn't this have a :vf: text init?","","repoint_target"
"0e","7d01","","// init NAME_18, $2f
星獸‧機械鳥加
入隊伍。
如果將巴克置於
隊伍前頭，
可籍由機械鳥的
力量，
飛越地圖的小型
凹洞。","// init NAME_18, $2f
Star Beast Beattro joined the party. If Buck is leading the party, he can use Beattro's power to cross small holes in the ground.","TM get!","oh wait, here it is","repoint_target"
"0e","7d5d","","// init NAME_1C, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。","// init NAME_1C, $29
Go on! You can start at GaleCorp, and find the other 7 circuits from there.","","","repoint_target"
"0e","7d8b","","// init NAME_1C, $29
去吧~
到加爾企業，
尋找乘下的七個
動力晶片吧。","// init NAME_1C, $29
Go on! You can start at GaleCorp, and find the other 7 circuits from there.",":vf:","","repoint_target"
"0e","7db9","","// init NAME_BALLOT, $2b
這個洞⋯
該怎麼通過呢?","// init NAME_BALLOT, $2b
This hole... How will we cross it?","","","repoint_target"
"0e","7dd1","","// init NAME_BUCK, $01
巴洛特‧巴克‧
換‧在排頭。
機械鳥‧飛‧地
洞。","// init NAME_BUCK, $01
Ballot. Let Buck lead. Beattro fly over hole.","","","repoint_target"
"0e","7dff","","// init NAME_BALLOT, $00
不行~
我們去找伊隼人
問天才機械發明
家的事情⋯⋯","// init NAME_BALLOT, $00
No! Let's go ask Hayato about the genius mechanical inventor...","why is this here hmmm","vf moment?","repoint_target"
"0e","7e33","","// init NAME_1C, $29
如果沒有水晶村
的彩虹水晶的話
一定贏不了的。","// init NAME_1C, $29
Without the Rainbow Crystal from Crystal Town, I'll never win...","","","repoint_target"
"0e","7e60","","// init NAME_BALLOT, $00
來吧!","// init NAME_BALLOT, $00
Come on!","","","repoint_target"
"0e","6550","","// init NAME_BLANK, $1b
聽說科技城的
雷歐，
和閃電隊賽車輸
了三千萬!
這種結果是一定
的。
因為彩虹水晶停
産了，
一定做不出好的
賽車的。","// init NAME_BLANK, $1b
I heard that Dr. Leo of the State of Science, lost 30 million yen racing against the Volts!
It was inevitable; since the Rainbow Crystal was discontinued, he doesn't have the parts to make good racing cars.","","","repoint_target"
"0e","65b8","","// init NAME_BLANK, $1e
爸爸的口袋裡，
有一顆七彩的水
晶耶!","// init NAME_BLANK, $1e
In my dad's pocket, there is a colorful crystal!","","","repoint_target"
"0e","65de","","// init NAME_BUCK, $01
水晶?
給巴克‧雷歐博
士‧要!","// init NAME_BUCK, $01
Crystal? Give Buck, Dr. Leo want!","r o b o t","","repoint_target"
"0e","65fc","","// init NAME_BLANK, $1e
不~要!","// init NAME_BLANK, $1e
No!","","","repoint_target"
"0e","6607","","// init NAME_BLANK, $20
站住!
這裡是閃電隊的
地盤，快走!","// init NAME_BLANK, $20
Get out!
This place is the Volts' turf!","","team name mentioned here","repoint_target"
"0e","662c","","// init NAME_BALLOT, $2d
壁櫥裡有個洞!
打開了!!","// init NAME_BALLOT, $2d
There's a doorway in the closet! It's open!","","","repoint_target"
"0e","6647","","// init NAME_20, $30
輸、入、密、碼
?","// init NAME_20, $30
Access authorization.
Password, please.","","","repoint_target"
"0e","665b","","// init NAME_BUCK, $01
巴洛特‧巴克‧
試試。
巴克‧要‧隊伍
‧前頭。","// init NAME_BUCK, $01
Ballot. Buck wants to try.
Buck will lead the way.","
placing buck at the top of the party list?","","repoint_target"
"0e","6689","","// init NAME_BALLOT, $2d
壁櫥裡有個洞!
打開了!!","// init NAME_BALLOT, $2d
There's a doorway in the closet! It's open!","same as 0e:662c","","repoint_target"
"0e","66a4","","// init NAME_20, $30
輸、入、密、碼
?","// init NAME_20, $30
Access authorization.
Password, please.","same as 0e:6647","","repoint_target"
"0e","66b8","","// init NAME_BUCK, $01
巴克‧解碼。
¢2#×°£
MKC-+3
密碼:
97‧35","// init NAME_BUCK, $01
Buck decode.
...
Password is. 9735.
","might need to adjust the ""decoding"" part since it messes up the game when i converted this","","repoint_target"
"0e","66eb","","// init NAME_20, $30
正確~正確。","// init NAME_20, $30
Access granted.","","","repoint_target"
"0e","66fa","","// init NAME_22, $32
你們是誰?
侵入祕密基地的
傢伙，
要給你們一點教
訓!","// init NAME_22, $32
Who are you?
How dare you invade our secret base!
We'll teach you a lesson!","","","repoint_target"
"0e","672d","","// init NAME_22, $32
可惡!
這裡失守了嗎?
雖然對不起頭目
及大姐頭，
但還是徹退吧!","// init NAME_22, $32
Damn it! We've been found out!
I'm sorry, chief and big sis, but we need to retreat!","","","repoint_target"
"0e","676a","","// init NAME_22, $32
不行~
得趕快徹退才行
!","// init NAME_22, $32
No! We need to get out of here!","","","repoint_target"
"0e","6784","","// init NAME_22, $32
你們是誰?
讓開!
不要擋住我徹退
的路!","// init NAME_22, $32
Who are you? Get out of the way! ","","","repoint_target"
"0e","67ae","","// init NAME_22, $32
可惡!
雖然被打敗了，
但你還是阻止不
了我的徹退的!","// init NAME_22, $32
Damn it! I've been beaten! I need to get out of here!","","","repoint_target"
"0e","67e0","","// init NAME_BALLOT, $00
這一定就是彩虹
水晶了!
雷歐博士有了這
個，
一定就可以打敗
閃電隊了!","// init NAME_BALLOT, $00
This must be the Rainbow Crystal! With this, Dr. Leo will be able to defeat the Volts!","","","repoint_target"
"0e","6821","","// init NAME_BALLOT, $2a
得到彩虹水晶。","// init NAME_BALLOT, $2a
Got the Rainbow Crystal!","","","repoint_target"
"0e","6832","","// init NAME_BLANK, $12
閃電集團莫名奇
妙的跑光了!
又可以恢復工作
了。
從來不曉得，
有工作的感覺是
這麼美妙!","// init NAME_BLANK, $12
Those Volt guys ran for the hills!
We've all gotten our jobs back. I've never been this happy to go to work!","","","repoint_target"
"0e","6882","","// init NAME_BLANK, $14
霸佔水晶礦坑的
閃電集團消失了
這真是個天大的
好消息。","// init NAME_BLANK, $14
Good news! Those volty guys occupying the mine have disappeared!","","","repoint_target"
"0e","68b3","","// init NAME_BLANK, $19
前幾天經過科技
城的發電塔，
結果發現了一隻
好大的貓怪!
真是可怕!","// init NAME_BLANK, $19
A few days ago, while walking past the power plant of the State of Science, there was a giant cat monster! I ran for my life!","","","repoint_target"
"0e","68f4","","// init NAME_BLANK, $15
哈哈哈~
老公又有工作了
!
煮頓超豪華料理
吧!","// init NAME_BLANK, $15
Hahahaha, my hubby has a job again!
I'll go whip up a deluxe meal!","","","repoint_target"
"0e","6923","","// init NAME_BLANK, $1e
爸爸的口袋裡，
有一顆七彩的水
晶耶!
這是我的寶藏，
才不要給任何人
!","// init NAME_BLANK, $1e
There's a colourful crystal in my dad's pocket!
I'll never give this treasure to anyone!","","","repoint_target"
"0e","6967","","// init NAME_1C, $29
這不是彩虹水晶
嗎?
真是太好了!
等等~
這就把黃金鳳凰
號的核心換掉。","// init NAME_1C, $29
Isn't this a rainbow crystal? That's great!
Now I can make a new core for the Golden Phoenix!","","","repoint_target"
"0e","69a6","","// init NAME_1C, $29
⋯⋯⋯","// init NAME_1C, $29
...","","","repoint_target"
"0e","69ae","","// init NAME_1C, $29
⋯⋯⋯","// init NAME_1C, $29
...","","","repoint_target"
"0e","69b6","","// init NAME_1C, $29
完成了!
真‧黃金鳳凰號
!
有了這個，
就一定可以打敗
閃電隊了!","// init NAME_1C, $29
It's done!
The True Golden Phoenix!
With this, I can definitely defeat the Volts!","this is definitely leo speaking lol","","repoint_target"
"0e","69ef","","// init NAME_BALLOT, $00
嗯，一定可以的
。","// init NAME_BALLOT, $00
Sure you can...","","","repoint_target"
"0e","6a00","","// init NAME_1C, $29
⋯⋯⋯
有了上次輸了的
陰影⋯
我還是不敢⋯⋯
你就拿我的~
真‧黃金鳳凰號
和閃電隊比賽吧
⋯⋯","// init NAME_1C, $29
...
The shadow of my former loss still haunts me.
I don't dare to try again, so will you take the True Golden Phoenix and go in my stead to battle Team Volt?","","","repoint_target"
"0e","6a52","","// init NAME_BALLOT, $2a
得到鳳凰號!","// init NAME_BALLOT, $2a
Got the Phoenix!","","","repoint_target"
"0e","6a61","","// init NAME_1C, $29
⋯⋯⋯
有了上次輸了的
陰影⋯
我還是不敢⋯⋯
你就拿我的~
真‧黃金鳳凰號
和閃電隊比賽吧
⋯⋯","// init NAME_1C, $29
...
The shadow of my former loss still haunts me.
I don't dare to try again, so will you take the True Golden Phoenix and go in my stead to battle Team Volt?","same as 0e:6a00","","repoint_target"
"0e","6ab3","","// init NAME_1E, $27
峨~呵呵呵~
你們終於來了。","// init NAME_1E, $27
Haha! So you finally came!","","","repoint_target"
"0e","6acf","","// init NAME_1F, $28
在下還以為，
你們夾著尾巴逃
走了!
即使沒有勝算，
還是要比嗎?","// init NAME_1F, $28
We thought you'd turned tail and fled!
Do you still want to battle us, knowing you don't stand a chance?","","no more deepl, :gohome:","repoint_target"
"0e","6b0b","","// init NAME_1E, $27
峨峨峨峨~
呵呵呵呵!
三千萬就要到手
了!
夢想就要實現了
!","// init NAME_1E, $27
Ehehehehehe!
I can almost feel the crisp 30 million yen in my hands!
It's a dream come true!","","","repoint_target"
"0e","6b3f","","// init NAME_1F, $28
還是不甘心敗在
在下的手中嗎?
反正再幾次都一
樣。","// init NAME_1F, $28
Still not content to quit and save the effort?
This won't change anything, you know!","","","repoint_target"
"0e","6b6f","","// init NAME_1E, $27
峨~呵呵呵~
我就展現高貴的
耐心，
再給你們一次機
會吧!","// init NAME_1E, $27
Ehehehe~ I'm not usually this patient, but just this once, I'll give you another chance!","racing game START!","@zumi start adding name markers here","repoint_target"
"0e","6ba5","","// init NAME_1F, $28
在下⋯輸了?
不⋯不可能!","// init NAME_1F, $28
We... We lost?! Impossible!","","","repoint_target"
"0e","6bbd","","// init NAME_BLANK, $1b
萬歲!
雷歐的鳳凰號果
然贏了!
我早就說過，
雷歐才是最厲害
的發明家!","// init NAME_BLANK, $1b
Hooray! Those dastardly Volts have lost!
I knew it all along: Dr Leo is the best inventor in the world!","","","repoint_target"
"0e","6c02","","// init NAME_BALLOT, $00
哈哈哈~
那三千萬的賭金
，
就這麼算了吧!","// init NAME_BALLOT, $00
Hahaha! You won't have to worry about that 30 million yen anymore!","","","repoint_target"
"0e","6c29","","// init NAME_BUCK, $01
⋯巴克‧不能‧
笑⋯⋯
巴克⋯⋯想⋯⋯
笑⋯⋯","// init NAME_BUCK, $01
Buck cannot laugh...
Buck want laugh...","","","repoint_target"
"0e","6c51","","// init NAME_1E, $27
慢⋯慢⋯慢⋯
慢著著著著!!
我還有最後的終
極祕密武器!
就是這個按鈕!","// init NAME_1E, $27
H.. HOLD IT!
I still have one last trick up my sleeve!
Remember this remote?","","","repoint_target"
"0e","6c92","","// init NAME_1F, $28
在下真是佩服拉
琪的智慧。
只要輕輕這麼一
按~
一按峨!","// init NAME_1F, $28
Laki, you genius!
Just one little press, and...!","""thankful for laki's ingenuity"" might need rewording","","repoint_target"
"0e","6cc8","","// init NAME_1E, $27
沒‧有‧錯!
峨~呵呵呵呵~
就會『磅』的一
下唷!
不管如何，
你們還是準備
三千萬吧!","// init NAME_1E, $27
That's right!
Your precious power plant goes boom!
You'd better hand over that 30 million anyway!","","","repoint_target"
"0e","6d1a","","// init NAME_BLANK, $19
雷歐博士終於打
敗了閃電隊!
我們之前都錯怪
他了。","// init NAME_BLANK, $19
Dr Leo finally defeated the Volts!
We shouldn't have doubted him.","","","repoint_target"
"0e","6d47","","// init NAME_BLANK, $17
這裡是全世界最
大的製作高速賽
車的城市。","// init NAME_BLANK, $17
This city has the largest racing car manufacturing line in the world.","from 0e5666","","repoint_target"
